"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"1","AK","intermediate generation","solar","PV_int",1975,0.1663
"2","AL","intermediate generation","solar","PV_int",1975,0.1956
"3","AR","intermediate generation","solar","PV_int",1975,0.2054
"4","AZ","intermediate generation","solar","PV_int",1975,0.2543
"5","CA","intermediate generation","solar","PV_int",1975,0.2445
"6","CO","intermediate generation","solar","PV_int",1975,0.2543
"7","CT","intermediate generation","solar","PV_int",1975,0.176
"8","DE","intermediate generation","solar","PV_int",1975,0.1858
"9","FL","intermediate generation","solar","PV_int",1975,0.2054
"10","GA","intermediate generation","solar","PV_int",1975,0.1956
"11","HI","intermediate generation","solar","PV_int",1975,0.2543
"12","IA","intermediate generation","solar","PV_int",1975,0.1956
"13","ID","intermediate generation","solar","PV_int",1975,0.2151
"14","IL","intermediate generation","solar","PV_int",1975,0.1858
"15","IN","intermediate generation","solar","PV_int",1975,0.176
"16","KS","intermediate generation","solar","PV_int",1975,0.2347
"17","KY","intermediate generation","solar","PV_int",1975,0.1858
"18","LA","intermediate generation","solar","PV_int",1975,0.1956
"19","MA","intermediate generation","solar","PV_int",1975,0.176
"20","MD","intermediate generation","solar","PV_int",1975,0.176
"21","ME","intermediate generation","solar","PV_int",1975,0.1858
"22","MI","intermediate generation","solar","PV_int",1975,0.1663
"23","MN","intermediate generation","solar","PV_int",1975,0.1858
"24","MO","intermediate generation","solar","PV_int",1975,0.1858
"25","MS","intermediate generation","solar","PV_int",1975,0.1956
"26","MT","intermediate generation","solar","PV_int",1975,0.2054
"27","NC","intermediate generation","solar","PV_int",1975,0.2054
"28","ND","intermediate generation","solar","PV_int",1975,0.1956
"29","NE","intermediate generation","solar","PV_int",1975,0.2151
"30","NH","intermediate generation","solar","PV_int",1975,0.176
"31","NJ","intermediate generation","solar","PV_int",1975,0.1956
"32","NM","intermediate generation","solar","PV_int",1975,0.2543
"33","NV","intermediate generation","solar","PV_int",1975,0.2543
"34","NY","intermediate generation","solar","PV_int",1975,0.176
"35","OH","intermediate generation","solar","PV_int",1975,0.1663
"36","OK","intermediate generation","solar","PV_int",1975,0.2151
"37","OR","intermediate generation","solar","PV_int",1975,0.2249
"38","PA","intermediate generation","solar","PV_int",1975,0.176
"39","RI","intermediate generation","solar","PV_int",1975,0.176
"40","SC","intermediate generation","solar","PV_int",1975,0.1956
"41","SD","intermediate generation","solar","PV_int",1975,0.2054
"42","TN","intermediate generation","solar","PV_int",1975,0.1956
"43","TX","intermediate generation","solar","PV_int",1975,0.2151
"44","UT","intermediate generation","solar","PV_int",1975,0.2445
"45","VA","intermediate generation","solar","PV_int",1975,0.1956
"46","VT","intermediate generation","solar","PV_int",1975,0.176
"47","WA","intermediate generation","solar","PV_int",1975,0.1956
"48","WI","intermediate generation","solar","PV_int",1975,0.176
"49","WV","intermediate generation","solar","PV_int",1975,0.1663
"50","WY","intermediate generation","solar","PV_int",1975,0.2249
"51","AK","intermediate generation","solar","PV_int",1990,0.1663
"52","AL","intermediate generation","solar","PV_int",1990,0.1956
"53","AR","intermediate generation","solar","PV_int",1990,0.2054
"54","AZ","intermediate generation","solar","PV_int",1990,0.2543
"55","CA","intermediate generation","solar","PV_int",1990,0.2445
"56","CO","intermediate generation","solar","PV_int",1990,0.2543
"57","CT","intermediate generation","solar","PV_int",1990,0.176
"58","DE","intermediate generation","solar","PV_int",1990,0.1858
"59","FL","intermediate generation","solar","PV_int",1990,0.2054
"60","GA","intermediate generation","solar","PV_int",1990,0.1956
"61","HI","intermediate generation","solar","PV_int",1990,0.2543
"62","IA","intermediate generation","solar","PV_int",1990,0.1956
"63","ID","intermediate generation","solar","PV_int",1990,0.2151
"64","IL","intermediate generation","solar","PV_int",1990,0.1858
"65","IN","intermediate generation","solar","PV_int",1990,0.176
"66","KS","intermediate generation","solar","PV_int",1990,0.2347
"67","KY","intermediate generation","solar","PV_int",1990,0.1858
"68","LA","intermediate generation","solar","PV_int",1990,0.1956
"69","MA","intermediate generation","solar","PV_int",1990,0.176
"70","MD","intermediate generation","solar","PV_int",1990,0.176
"71","ME","intermediate generation","solar","PV_int",1990,0.1858
"72","MI","intermediate generation","solar","PV_int",1990,0.1663
"73","MN","intermediate generation","solar","PV_int",1990,0.1858
"74","MO","intermediate generation","solar","PV_int",1990,0.1858
