"","region","supplysector","subsector0","subsector","year","lifetime","steepness","half.life","stub.technology"
"33","AK","base load generation","coal","coal_base_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (cooling pond)"
"34","AK","base load generation","coal","coal_base_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (dry cooling)"
"35","AK","intermediate generation","coal","coal_int_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (once through)"
"36","AK","intermediate generation","coal","coal_int_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (recirculating)"
"37","AK","intermediate generation","coal","coal_int_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (cooling pond)"
"38","AK","intermediate generation","coal","coal_int_conv pul 1961-1965",2015,29,0.3,25,"coal (conv pul) (dry cooling)"
"39","AK","base load generation","coal","coal_base_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (once through)"
"40","AK","base load generation","coal","coal_base_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (recirculating)"
"41","AK","base load generation","coal","coal_base_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (cooling pond)"
"42","AK","base load generation","coal","coal_base_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (dry cooling)"
"43","AK","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (once through)"
"44","AK","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (recirculating)"
"45","AK","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (cooling pond)"
"46","AK","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,32,0.3,28,"coal (conv pul) (dry cooling)"
"47","AK","base load generation","coal","coal_base_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (once through)"
"48","AK","base load generation","coal","coal_base_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (recirculating)"
"49","AK","base load generation","coal","coal_base_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (cooling pond)"
"50","AK","base load generation","coal","coal_base_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (dry cooling)"
"51","AK","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (once through)"
"52","AK","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (recirculating)"
"53","AK","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (cooling pond)"
"54","AK","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,40,0.3,35,"coal (conv pul) (dry cooling)"
"55","AK","base load generation","coal","coal_base_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (once through)"
"56","AK","base load generation","coal","coal_base_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (recirculating)"
"57","AK","base load generation","coal","coal_base_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (cooling pond)"
"58","AK","base load generation","coal","coal_base_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (dry cooling)"
"59","AK","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (once through)"
"60","AK","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (recirculating)"
"61","AK","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (cooling pond)"
"62","AK","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,46,0.3,40,"coal (conv pul) (dry cooling)"
"63","AK","base load generation","coal","coal_base_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (once through)"
"64","AK","base load generation","coal","coal_base_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (recirculating)"
"65","AK","base load generation","coal","coal_base_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (cooling pond)"
"66","AK","base load generation","coal","coal_base_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (dry cooling)"
"67","AK","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (once through)"
"68","AK","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (recirculating)"
"69","AK","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (cooling pond)"
"70","AK","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,53,0.3,46,"coal (conv pul) (dry cooling)"
"71","AK","base load generation","coal","coal_base_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (once through)"
