"","supplysector","subsector","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"1","base load generation","biomass","biomass_base_conv",1975,"capital",1065,0.13
"2","base load generation","biomass","biomass_base_conv",1990,"capital",1065,0.13
"3","base load generation","biomass","biomass_base_conv",2005,"capital",1065,0.13
"4","base load generation","biomass","biomass_base_conv",2010,"capital",1065,0.13
"5","base load generation","biomass","biomass_base_conv",2015,"capital",1065,0.13
"6","base load generation","biomass","biomass_base_conv",2020,"capital",1042,0.13
"7","base load generation","biomass","biomass_base_conv",2025,"capital",1021,0.13
"8","base load generation","biomass","biomass_base_conv",2030,"capital",1001,0.13
"9","base load generation","biomass","biomass_base_conv",2035,"capital",984,0.13
"10","base load generation","biomass","biomass_base_conv",2040,"capital",968,0.13
"11","base load generation","biomass","biomass_base_conv",2045,"capital",954,0.13
"12","base load generation","biomass","biomass_base_conv",2050,"capital",941,0.13
"13","base load generation","biomass","biomass_base_conv",2055,"capital",930,0.13
"14","base load generation","biomass","biomass_base_conv",2060,"capital",919,0.13
"15","base load generation","biomass","biomass_base_conv",2065,"capital",910,0.13
"16","base load generation","biomass","biomass_base_conv",2070,"capital",901,0.13
"17","base load generation","biomass","biomass_base_conv",2075,"capital",893,0.13
"18","base load generation","biomass","biomass_base_conv",2080,"capital",886,0.13
"19","base load generation","biomass","biomass_base_conv",2085,"capital",880,0.13
"20","base load generation","biomass","biomass_base_conv",2090,"capital",874,0.13
"21","base load generation","biomass","biomass_base_conv",2095,"capital",869,0.13
"22","base load generation","biomass","biomass_base_conv",2100,"capital",864,0.13
"23","base load generation","biomass","biomass_base_conv_CCS",1975,"capital",2051,0.13
"24","base load generation","biomass","biomass_base_conv_CCS",1990,"capital",2051,0.13
"25","base load generation","biomass","biomass_base_conv_CCS",2005,"capital",2051,0.13
"26","base load generation","biomass","biomass_base_conv_CCS",2010,"capital",2051,0.13
"27","base load generation","biomass","biomass_base_conv_CCS",2015,"capital",2051,0.13
"28","base load generation","biomass","biomass_base_conv_CCS",2020,"capital",1962,0.13
"29","base load generation","biomass","biomass_base_conv_CCS",2025,"capital",1882,0.13
"30","base load generation","biomass","biomass_base_conv_CCS",2030,"capital",1810,0.13
