"","supplysector","subsector","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"31","base load generation","biomass","biomass_base_conv_CCS",2035,"capital",1744,0.13
"32","base load generation","biomass","biomass_base_conv_CCS",2040,"capital",1685,0.13
"33","base load generation","biomass","biomass_base_conv_CCS",2045,"capital",1631,0.13
"34","base load generation","biomass","biomass_base_conv_CCS",2050,"capital",1583,0.13
"35","base load generation","biomass","biomass_base_conv_CCS",2055,"capital",1539,0.13
"36","base load generation","biomass","biomass_base_conv_CCS",2060,"capital",1500,0.13
"37","base load generation","biomass","biomass_base_conv_CCS",2065,"capital",1464,0.13
"38","base load generation","biomass","biomass_base_conv_CCS",2070,"capital",1432,0.13
"39","base load generation","biomass","biomass_base_conv_CCS",2075,"capital",1403,0.13
"40","base load generation","biomass","biomass_base_conv_CCS",2080,"capital",1376,0.13
"41","base load generation","biomass","biomass_base_conv_CCS",2085,"capital",1352,0.13
"42","base load generation","biomass","biomass_base_conv_CCS",2090,"capital",1331,0.13
"43","base load generation","biomass","biomass_base_conv_CCS",2095,"capital",1311,0.13
"44","base load generation","biomass","biomass_base_conv_CCS",2100,"capital",1294,0.13
"45","base load generation","biomass","biomass_base_IGCC",1975,"capital",1598,0.13
"46","base load generation","biomass","biomass_base_IGCC",1990,"capital",1598,0.13
"47","base load generation","biomass","biomass_base_IGCC",2005,"capital",1598,0.13
"48","base load generation","biomass","biomass_base_IGCC",2010,"capital",1598,0.13
"49","base load generation","biomass","biomass_base_IGCC",2015,"capital",1598,0.13
"50","base load generation","biomass","biomass_base_IGCC",2020,"capital",1534,0.13
"51","base load generation","biomass","biomass_base_IGCC",2025,"capital",1475,0.13
"52","base load generation","biomass","biomass_base_IGCC",2030,"capital",1423,0.13
"53","base load generation","biomass","biomass_base_IGCC",2035,"capital",1375,0.13
"54","base load generation","biomass","biomass_base_IGCC",2040,"capital",1332,0.13
"55","base load generation","biomass","biomass_base_IGCC",2045,"capital",1293,0.13
"56","base load generation","biomass","biomass_base_IGCC",2050,"capital",1258,0.13
"57","base load generation","biomass","biomass_base_IGCC",2055,"capital",1226,0.13
"58","base load generation","biomass","biomass_base_IGCC",2060,"capital",1197,0.13
"59","base load generation","biomass","biomass_base_IGCC",2065,"capital",1171,0.13
"60","base load generation","biomass","biomass_base_IGCC",2070,"capital",1148,0.13
"61","base load generation","biomass","biomass_base_IGCC",2075,"capital",1127,0.13
"62","base load generation","biomass","biomass_base_IGCC",2080,"capital",1107,0.13
"63","base load generation","biomass","biomass_base_IGCC",2085,"capital",1090,0.13
"64","base load generation","biomass","biomass_base_IGCC",2090,"capital",1074,0.13
"65","base load generation","biomass","biomass_base_IGCC",2095,"capital",1060,0.13
"66","base load generation","biomass","biomass_base_IGCC",2100,"capital",1047,0.13
"67","base load generation","biomass","biomass_base_IGCC_CCS",1975,"capital",2357,0.13
"68","base load generation","biomass","biomass_base_IGCC_CCS",1990,"capital",2357,0.13
"69","base load generation","biomass","biomass_base_IGCC_CCS",2005,"capital",2357,0.13
"70","base load generation","biomass","biomass_base_IGCC_CCS",2010,"capital",2357,0.13
"71","base load generation","biomass","biomass_base_IGCC_CCS",2015,"capital",2357,0.13
"72","base load generation","biomass","biomass_base_IGCC_CCS",2020,"capital",2235,0.13
"73","base load generation","biomass","biomass_base_IGCC_CCS",2025,"capital",2124,0.13
"74","base load generation","biomass","biomass_base_IGCC_CCS",2030,"capital",2024,0.13
"75","base load generation","biomass","biomass_base_IGCC_CCS",2035,"capital",1934,0.13
"76","base load generation","biomass","biomass_base_IGCC_CCS",2040,"capital",1853,0.13
"77","base load generation","biomass","biomass_base_IGCC_CCS",2045,"capital",1779,0.13
"78","base load generation","biomass","biomass_base_IGCC_CCS",2050,"capital",1712,0.13
"79","base load generation","biomass","biomass_base_IGCC_CCS",2055,"capital",1652,0.13
"80","base load generation","biomass","biomass_base_IGCC_CCS",2060,"capital",1597,0.13
"81","base load generation","biomass","biomass_base_IGCC_CCS",2065,"capital",1548,0.13
"82","base load generation","biomass","biomass_base_IGCC_CCS",2070,"capital",1503,0.13
"83","base load generation","biomass","biomass_base_IGCC_CCS",2075,"capital",1463,0.13
"84","base load generation","biomass","biomass_base_IGCC_CCS",2080,"capital",1427,0.13
"85","base load generation","biomass","biomass_base_IGCC_CCS",2085,"capital",1394,0.13
"86","base load generation","biomass","biomass_base_IGCC_CCS",2090,"capital",1364,0.13
"87","base load generation","biomass","biomass_base_IGCC_CCS",2095,"capital",1337,0.13
"88","base load generation","biomass","biomass_base_IGCC_CCS",2100,"capital",1313,0.13
"89","intermediate generation","biomass","biomass_int_conv",1975,"capital",1065,0.13
"90","intermediate generation","biomass","biomass_int_conv",1990,"capital",1065,0.13
"91","intermediate generation","biomass","biomass_int_conv",2005,"capital",1065,0.13
"92","intermediate generation","biomass","biomass_int_conv",2010,"capital",1065,0.13
"93","intermediate generation","biomass","biomass_int_conv",2015,"capital",1065,0.13
"94","intermediate generation","biomass","biomass_int_conv",2020,"capital",1042,0.13
"95","intermediate generation","biomass","biomass_int_conv",2025,"capital",1021,0.13
"96","intermediate generation","biomass","biomass_int_conv",2030,"capital",1001,0.13
"97","intermediate generation","biomass","biomass_int_conv",2035,"capital",984,0.13
"98","intermediate generation","biomass","biomass_int_conv",2040,"capital",968,0.13
"99","intermediate generation","biomass","biomass_int_conv",2045,"capital",954,0.13
"100","intermediate generation","biomass","biomass_int_conv",2050,"capital",941,0.13
"101","intermediate generation","biomass","biomass_int_conv",2055,"capital",930,0.13
"102","intermediate generation","biomass","biomass_int_conv",2060,"capital",919,0.13
"103","intermediate generation","biomass","biomass_int_conv",2065,"capital",910,0.13
"104","intermediate generation","biomass","biomass_int_conv",2070,"capital",901,0.13
"105","intermediate generation","biomass","biomass_int_conv",2075,"capital",893,0.13
"106","intermediate generation","biomass","biomass_int_conv",2080,"capital",886,0.13
"107","intermediate generation","biomass","biomass_int_conv",2085,"capital",880,0.13
"108","intermediate generation","biomass","biomass_int_conv",2090,"capital",874,0.13
"109","intermediate generation","biomass","biomass_int_conv",2095,"capital",869,0.13
"110","intermediate generation","biomass","biomass_int_conv",2100,"capital",864,0.13
"111","intermediate generation","biomass","biomass_int_conv_CCS",1975,"capital",2051,0.13
"112","intermediate generation","biomass","biomass_int_conv_CCS",1990,"capital",2051,0.13
"113","intermediate generation","biomass","biomass_int_conv_CCS",2005,"capital",2051,0.13
"114","intermediate generation","biomass","biomass_int_conv_CCS",2010,"capital",2051,0.13
"115","intermediate generation","biomass","biomass_int_conv_CCS",2015,"capital",2051,0.13
"116","intermediate generation","biomass","biomass_int_conv_CCS",2020,"capital",1962,0.13
"117","intermediate generation","biomass","biomass_int_conv_CCS",2025,"capital",1882,0.13
"118","intermediate generation","biomass","biomass_int_conv_CCS",2030,"capital",1810,0.13
"119","intermediate generation","biomass","biomass_int_conv_CCS",2035,"capital",1744,0.13
"120","intermediate generation","biomass","biomass_int_conv_CCS",2040,"capital",1685,0.13
"121","intermediate generation","biomass","biomass_int_conv_CCS",2045,"capital",1631,0.13
"122","intermediate generation","biomass","biomass_int_conv_CCS",2050,"capital",1583,0.13
"123","intermediate generation","biomass","biomass_int_conv_CCS",2055,"capital",1539,0.13
"124","intermediate generation","biomass","biomass_int_conv_CCS",2060,"capital",1500,0.13
"125","intermediate generation","biomass","biomass_int_conv_CCS",2065,"capital",1464,0.13
"126","intermediate generation","biomass","biomass_int_conv_CCS",2070,"capital",1432,0.13
"127","intermediate generation","biomass","biomass_int_conv_CCS",2075,"capital",1403,0.13
"128","intermediate generation","biomass","biomass_int_conv_CCS",2080,"capital",1376,0.13
"129","intermediate generation","biomass","biomass_int_conv_CCS",2085,"capital",1352,0.13
"130","intermediate generation","biomass","biomass_int_conv_CCS",2090,"capital",1331,0.13
"131","intermediate generation","biomass","biomass_int_conv_CCS",2095,"capital",1311,0.13
"132","intermediate generation","biomass","biomass_int_conv_CCS",2100,"capital",1294,0.13
"133","intermediate generation","biomass","biomass_int_IGCC",1975,"capital",1598,0.13
"134","intermediate generation","biomass","biomass_int_IGCC",1990,"capital",1598,0.13
"135","intermediate generation","biomass","biomass_int_IGCC",2005,"capital",1598,0.13
"136","intermediate generation","biomass","biomass_int_IGCC",2010,"capital",1598,0.13
"137","intermediate generation","biomass","biomass_int_IGCC",2015,"capital",1598,0.13
"138","intermediate generation","biomass","biomass_int_IGCC",2020,"capital",1534,0.13
"139","intermediate generation","biomass","biomass_int_IGCC",2025,"capital",1475,0.13
"140","intermediate generation","biomass","biomass_int_IGCC",2030,"capital",1423,0.13
"141","intermediate generation","biomass","biomass_int_IGCC",2035,"capital",1375,0.13
"142","intermediate generation","biomass","biomass_int_IGCC",2040,"capital",1332,0.13
"143","intermediate generation","biomass","biomass_int_IGCC",2045,"capital",1293,0.13
"144","intermediate generation","biomass","biomass_int_IGCC",2050,"capital",1258,0.13
"145","intermediate generation","biomass","biomass_int_IGCC",2055,"capital",1226,0.13
"146","intermediate generation","biomass","biomass_int_IGCC",2060,"capital",1197,0.13
"147","intermediate generation","biomass","biomass_int_IGCC",2065,"capital",1171,0.13
"148","intermediate generation","biomass","biomass_int_IGCC",2070,"capital",1148,0.13
"149","intermediate generation","biomass","biomass_int_IGCC",2075,"capital",1127,0.13
"150","intermediate generation","biomass","biomass_int_IGCC",2080,"capital",1107,0.13
"151","intermediate generation","biomass","biomass_int_IGCC",2085,"capital",1090,0.13
"152","intermediate generation","biomass","biomass_int_IGCC",2090,"capital",1074,0.13
"153","intermediate generation","biomass","biomass_int_IGCC",2095,"capital",1060,0.13
"154","intermediate generation","biomass","biomass_int_IGCC",2100,"capital",1047,0.13
"155","intermediate generation","biomass","biomass_int_IGCC_CCS",1975,"capital",2357,0.13
"156","intermediate generation","biomass","biomass_int_IGCC_CCS",1990,"capital",2357,0.13
"157","intermediate generation","biomass","biomass_int_IGCC_CCS",2005,"capital",2357,0.13
"158","intermediate generation","biomass","biomass_int_IGCC_CCS",2010,"capital",2357,0.13
"159","intermediate generation","biomass","biomass_int_IGCC_CCS",2015,"capital",2357,0.13
"160","intermediate generation","biomass","biomass_int_IGCC_CCS",2020,"capital",2235,0.13
"161","intermediate generation","biomass","biomass_int_IGCC_CCS",2025,"capital",2124,0.13
"162","intermediate generation","biomass","biomass_int_IGCC_CCS",2030,"capital",2024,0.13
"163","intermediate generation","biomass","biomass_int_IGCC_CCS",2035,"capital",1934,0.13
"164","intermediate generation","biomass","biomass_int_IGCC_CCS",2040,"capital",1853,0.13
"165","intermediate generation","biomass","biomass_int_IGCC_CCS",2045,"capital",1779,0.13
"166","intermediate generation","biomass","biomass_int_IGCC_CCS",2050,"capital",1712,0.13
"167","intermediate generation","biomass","biomass_int_IGCC_CCS",2055,"capital",1652,0.13
"168","intermediate generation","biomass","biomass_int_IGCC_CCS",2060,"capital",1597,0.13
"169","intermediate generation","biomass","biomass_int_IGCC_CCS",2065,"capital",1548,0.13
"170","intermediate generation","biomass","biomass_int_IGCC_CCS",2070,"capital",1503,0.13
"171","intermediate generation","biomass","biomass_int_IGCC_CCS",2075,"capital",1463,0.13
"172","intermediate generation","biomass","biomass_int_IGCC_CCS",2080,"capital",1427,0.13
"173","intermediate generation","biomass","biomass_int_IGCC_CCS",2085,"capital",1394,0.13
"174","intermediate generation","biomass","biomass_int_IGCC_CCS",2090,"capital",1364,0.13
"175","intermediate generation","biomass","biomass_int_IGCC_CCS",2095,"capital",1337,0.13
"176","intermediate generation","biomass","biomass_int_IGCC_CCS",2100,"capital",1313,0.13
"177","base load generation","coal","coal_base_conv pul",1975,"capital",1015,0.13
"178","base load generation","coal","coal_base_conv pul",1990,"capital",1015,0.13
"179","base load generation","coal","coal_base_conv pul",2005,"capital",1015,0.13
"180","base load generation","coal","coal_base_conv pul",2010,"capital",1015,0.13
"181","base load generation","coal","coal_base_conv pul",2015,"capital",1015,0.13
"182","base load generation","coal","coal_base_conv pul",2020,"capital",999,0.13
"183","base load generation","coal","coal_base_conv pul",2025,"capital",985,0.13
"184","base load generation","coal","coal_base_conv pul",2030,"capital",972,0.13
"185","base load generation","coal","coal_base_conv pul",2035,"capital",961,0.13
"186","base load generation","coal","coal_base_conv pul",2040,"capital",950,0.13
"187","base load generation","coal","coal_base_conv pul",2045,"capital",941,0.13
"188","base load generation","coal","coal_base_conv pul",2050,"capital",932,0.13
"189","base load generation","coal","coal_base_conv pul",2055,"capital",925,0.13
"190","base load generation","coal","coal_base_conv pul",2060,"capital",918,0.13
"191","base load generation","coal","coal_base_conv pul",2065,"capital",911,0.13
"192","base load generation","coal","coal_base_conv pul",2070,"capital",906,0.13
"193","base load generation","coal","coal_base_conv pul",2075,"capital",901,0.13
"194","base load generation","coal","coal_base_conv pul",2080,"capital",896,0.13
"195","base load generation","coal","coal_base_conv pul",2085,"capital",892,0.13
"196","base load generation","coal","coal_base_conv pul",2090,"capital",888,0.13
"197","base load generation","coal","coal_base_conv pul",2095,"capital",885,0.13
"198","base load generation","coal","coal_base_conv pul",2100,"capital",881,0.13
"199","base load generation","coal","coal_base_conv pul_CCS",1975,"capital",1553,0.13
"200","base load generation","coal","coal_base_conv pul_CCS",1990,"capital",1553,0.13
"201","base load generation","coal","coal_base_conv pul_CCS",2005,"capital",1553,0.13
"202","base load generation","coal","coal_base_conv pul_CCS",2010,"capital",1553,0.13
"203","base load generation","coal","coal_base_conv pul_CCS",2015,"capital",1553,0.13
"204","base load generation","coal","coal_base_conv pul_CCS",2020,"capital",1530,0.13
"205","base load generation","coal","coal_base_conv pul_CCS",2025,"capital",1509,0.13
"206","base load generation","coal","coal_base_conv pul_CCS",2030,"capital",1488,0.13
"207","base load generation","coal","coal_base_conv pul_CCS",2035,"capital",1468,0.13
"208","base load generation","coal","coal_base_conv pul_CCS",2040,"capital",1450,0.13
"209","base load generation","coal","coal_base_conv pul_CCS",2045,"capital",1432,0.13
"210","base load generation","coal","coal_base_conv pul_CCS",2050,"capital",1415,0.13
"211","base load generation","coal","coal_base_conv pul_CCS",2055,"capital",1399,0.13
"212","base load generation","coal","coal_base_conv pul_CCS",2060,"capital",1384,0.13
"213","base load generation","coal","coal_base_conv pul_CCS",2065,"capital",1369,0.13
"214","base load generation","coal","coal_base_conv pul_CCS",2070,"capital",1355,0.13
"215","base load generation","coal","coal_base_conv pul_CCS",2075,"capital",1342,0.13
"216","base load generation","coal","coal_base_conv pul_CCS",2080,"capital",1330,0.13
"217","base load generation","coal","coal_base_conv pul_CCS",2085,"capital",1318,0.13
"218","base load generation","coal","coal_base_conv pul_CCS",2090,"capital",1307,0.13
"219","base load generation","coal","coal_base_conv pul_CCS",2095,"capital",1296,0.13
"220","base load generation","coal","coal_base_conv pul_CCS",2100,"capital",1286,0.13
"221","base load generation","coal","coal_base_IGCC",1975,"capital",1089,0.13
"222","base load generation","coal","coal_base_IGCC",1990,"capital",1089,0.13
"223","base load generation","coal","coal_base_IGCC",2005,"capital",1089,0.13
"224","base load generation","coal","coal_base_IGCC",2010,"capital",1089,0.13
"225","base load generation","coal","coal_base_IGCC",2015,"capital",1089,0.13
"226","base load generation","coal","coal_base_IGCC",2020,"capital",1052,0.13
"227","base load generation","coal","coal_base_IGCC",2025,"capital",1020,0.13
"228","base load generation","coal","coal_base_IGCC",2030,"capital",993,0.13
"229","base load generation","coal","coal_base_IGCC",2035,"capital",970,0.13
"230","base load generation","coal","coal_base_IGCC",2040,"capital",950,0.13
"231","base load generation","coal","coal_base_IGCC",2045,"capital",932,0.13
"232","base load generation","coal","coal_base_IGCC",2050,"capital",917,0.13
"233","base load generation","coal","coal_base_IGCC",2055,"capital",905,0.13
"234","base load generation","coal","coal_base_IGCC",2060,"capital",894,0.13
"235","base load generation","coal","coal_base_IGCC",2065,"capital",884,0.13
"236","base load generation","coal","coal_base_IGCC",2070,"capital",876,0.13
"237","base load generation","coal","coal_base_IGCC",2075,"capital",870,0.13
"238","base load generation","coal","coal_base_IGCC",2080,"capital",864,0.13
"239","base load generation","coal","coal_base_IGCC",2085,"capital",858,0.13
"240","base load generation","coal","coal_base_IGCC",2090,"capital",854,0.13
"241","base load generation","coal","coal_base_IGCC",2095,"capital",850,0.13
"242","base load generation","coal","coal_base_IGCC",2100,"capital",847,0.13
"243","base load generation","coal","coal_base_IGCC_CCS",1975,"capital",1797,0.13
"244","base load generation","coal","coal_base_IGCC_CCS",1990,"capital",1797,0.13
"245","base load generation","coal","coal_base_IGCC_CCS",2005,"capital",1797,0.13
"246","base load generation","coal","coal_base_IGCC_CCS",2010,"capital",1797,0.13
"247","base load generation","coal","coal_base_IGCC_CCS",2015,"capital",1797,0.13
"248","base load generation","coal","coal_base_IGCC_CCS",2020,"capital",1705,0.13
"249","base load generation","coal","coal_base_IGCC_CCS",2025,"capital",1627,0.13
"250","base load generation","coal","coal_base_IGCC_CCS",2030,"capital",1559,0.13
"251","base load generation","coal","coal_base_IGCC_CCS",2035,"capital",1501,0.13
"252","base load generation","coal","coal_base_IGCC_CCS",2040,"capital",1452,0.13
"253","base load generation","coal","coal_base_IGCC_CCS",2045,"capital",1409,0.13
"254","base load generation","coal","coal_base_IGCC_CCS",2050,"capital",1373,0.13
"255","base load generation","coal","coal_base_IGCC_CCS",2055,"capital",1341,0.13
"256","base load generation","coal","coal_base_IGCC_CCS",2060,"capital",1314,0.13
"257","base load generation","coal","coal_base_IGCC_CCS",2065,"capital",1291,0.13
"258","base load generation","coal","coal_base_IGCC_CCS",2070,"capital",1271,0.13
"259","base load generation","coal","coal_base_IGCC_CCS",2075,"capital",1254,0.13
"260","base load generation","coal","coal_base_IGCC_CCS",2080,"capital",1239,0.13
"261","base load generation","coal","coal_base_IGCC_CCS",2085,"capital",1226,0.13
"262","base load generation","coal","coal_base_IGCC_CCS",2090,"capital",1216,0.13
"263","base load generation","coal","coal_base_IGCC_CCS",2095,"capital",1206,0.13
"264","base load generation","coal","coal_base_IGCC_CCS",2100,"capital",1198,0.13
"265","intermediate generation","coal","coal_int_conv pul",1975,"capital",1015,0.13
"266","intermediate generation","coal","coal_int_conv pul",1990,"capital",1015,0.13
"267","intermediate generation","coal","coal_int_conv pul",2005,"capital",1015,0.13
"268","intermediate generation","coal","coal_int_conv pul",2010,"capital",1015,0.13
"269","intermediate generation","coal","coal_int_conv pul",2015,"capital",1015,0.13
"270","intermediate generation","coal","coal_int_conv pul",2020,"capital",999,0.13
"271","intermediate generation","coal","coal_int_conv pul",2025,"capital",985,0.13
"272","intermediate generation","coal","coal_int_conv pul",2030,"capital",972,0.13
"273","intermediate generation","coal","coal_int_conv pul",2035,"capital",961,0.13
"274","intermediate generation","coal","coal_int_conv pul",2040,"capital",950,0.13
"275","intermediate generation","coal","coal_int_conv pul",2045,"capital",941,0.13
"276","intermediate generation","coal","coal_int_conv pul",2050,"capital",932,0.13
"277","intermediate generation","coal","coal_int_conv pul",2055,"capital",925,0.13
"278","intermediate generation","coal","coal_int_conv pul",2060,"capital",918,0.13
"279","intermediate generation","coal","coal_int_conv pul",2065,"capital",911,0.13
"280","intermediate generation","coal","coal_int_conv pul",2070,"capital",906,0.13
"281","intermediate generation","coal","coal_int_conv pul",2075,"capital",901,0.13
"282","intermediate generation","coal","coal_int_conv pul",2080,"capital",896,0.13
"283","intermediate generation","coal","coal_int_conv pul",2085,"capital",892,0.13
"284","intermediate generation","coal","coal_int_conv pul",2090,"capital",888,0.13
"285","intermediate generation","coal","coal_int_conv pul",2095,"capital",885,0.13
"286","intermediate generation","coal","coal_int_conv pul",2100,"capital",881,0.13
"287","intermediate generation","coal","coal_int_conv pul_CCS",1975,"capital",1553,0.13
"288","intermediate generation","coal","coal_int_conv pul_CCS",1990,"capital",1553,0.13
"289","intermediate generation","coal","coal_int_conv pul_CCS",2005,"capital",1553,0.13
"290","intermediate generation","coal","coal_int_conv pul_CCS",2010,"capital",1553,0.13
"291","intermediate generation","coal","coal_int_conv pul_CCS",2015,"capital",1553,0.13
"292","intermediate generation","coal","coal_int_conv pul_CCS",2020,"capital",1530,0.13
"293","intermediate generation","coal","coal_int_conv pul_CCS",2025,"capital",1509,0.13
"294","intermediate generation","coal","coal_int_conv pul_CCS",2030,"capital",1488,0.13
"295","intermediate generation","coal","coal_int_conv pul_CCS",2035,"capital",1468,0.13
"296","intermediate generation","coal","coal_int_conv pul_CCS",2040,"capital",1450,0.13
"297","intermediate generation","coal","coal_int_conv pul_CCS",2045,"capital",1432,0.13
"298","intermediate generation","coal","coal_int_conv pul_CCS",2050,"capital",1415,0.13
"299","intermediate generation","coal","coal_int_conv pul_CCS",2055,"capital",1399,0.13
"300","intermediate generation","coal","coal_int_conv pul_CCS",2060,"capital",1384,0.13
"301","intermediate generation","coal","coal_int_conv pul_CCS",2065,"capital",1369,0.13
"302","intermediate generation","coal","coal_int_conv pul_CCS",2070,"capital",1355,0.13
"303","intermediate generation","coal","coal_int_conv pul_CCS",2075,"capital",1342,0.13
"304","intermediate generation","coal","coal_int_conv pul_CCS",2080,"capital",1330,0.13
"305","intermediate generation","coal","coal_int_conv pul_CCS",2085,"capital",1318,0.13
"306","intermediate generation","coal","coal_int_conv pul_CCS",2090,"capital",1307,0.13
"307","intermediate generation","coal","coal_int_conv pul_CCS",2095,"capital",1296,0.13
"308","intermediate generation","coal","coal_int_conv pul_CCS",2100,"capital",1286,0.13
"309","intermediate generation","coal","coal_int_IGCC",1975,"capital",1089,0.13
"310","intermediate generation","coal","coal_int_IGCC",1990,"capital",1089,0.13
"311","intermediate generation","coal","coal_int_IGCC",2005,"capital",1089,0.13
"312","intermediate generation","coal","coal_int_IGCC",2010,"capital",1089,0.13
"313","intermediate generation","coal","coal_int_IGCC",2015,"capital",1089,0.13
"314","intermediate generation","coal","coal_int_IGCC",2020,"capital",1052,0.13
"315","intermediate generation","coal","coal_int_IGCC",2025,"capital",1020,0.13
"316","intermediate generation","coal","coal_int_IGCC",2030,"capital",993,0.13
"317","intermediate generation","coal","coal_int_IGCC",2035,"capital",970,0.13
"318","intermediate generation","coal","coal_int_IGCC",2040,"capital",950,0.13
"319","intermediate generation","coal","coal_int_IGCC",2045,"capital",932,0.13
"320","intermediate generation","coal","coal_int_IGCC",2050,"capital",917,0.13
"321","intermediate generation","coal","coal_int_IGCC",2055,"capital",905,0.13
"322","intermediate generation","coal","coal_int_IGCC",2060,"capital",894,0.13
"323","intermediate generation","coal","coal_int_IGCC",2065,"capital",884,0.13
"324","intermediate generation","coal","coal_int_IGCC",2070,"capital",876,0.13
"325","intermediate generation","coal","coal_int_IGCC",2075,"capital",870,0.13
"326","intermediate generation","coal","coal_int_IGCC",2080,"capital",864,0.13
"327","intermediate generation","coal","coal_int_IGCC",2085,"capital",858,0.13
"328","intermediate generation","coal","coal_int_IGCC",2090,"capital",854,0.13
"329","intermediate generation","coal","coal_int_IGCC",2095,"capital",850,0.13
"330","intermediate generation","coal","coal_int_IGCC",2100,"capital",847,0.13
"331","intermediate generation","coal","coal_int_IGCC_CCS",1975,"capital",1797,0.13
"332","intermediate generation","coal","coal_int_IGCC_CCS",1990,"capital",1797,0.13
"333","intermediate generation","coal","coal_int_IGCC_CCS",2005,"capital",1797,0.13
"334","intermediate generation","coal","coal_int_IGCC_CCS",2010,"capital",1797,0.13
"335","intermediate generation","coal","coal_int_IGCC_CCS",2015,"capital",1797,0.13
"336","intermediate generation","coal","coal_int_IGCC_CCS",2020,"capital",1705,0.13
"337","intermediate generation","coal","coal_int_IGCC_CCS",2025,"capital",1627,0.13
"338","intermediate generation","coal","coal_int_IGCC_CCS",2030,"capital",1559,0.13
"339","intermediate generation","coal","coal_int_IGCC_CCS",2035,"capital",1501,0.13
"340","intermediate generation","coal","coal_int_IGCC_CCS",2040,"capital",1452,0.13
"341","intermediate generation","coal","coal_int_IGCC_CCS",2045,"capital",1409,0.13
"342","intermediate generation","coal","coal_int_IGCC_CCS",2050,"capital",1373,0.13
"343","intermediate generation","coal","coal_int_IGCC_CCS",2055,"capital",1341,0.13
"344","intermediate generation","coal","coal_int_IGCC_CCS",2060,"capital",1314,0.13
"345","intermediate generation","coal","coal_int_IGCC_CCS",2065,"capital",1291,0.13
"346","intermediate generation","coal","coal_int_IGCC_CCS",2070,"capital",1271,0.13
"347","intermediate generation","coal","coal_int_IGCC_CCS",2075,"capital",1254,0.13
"348","intermediate generation","coal","coal_int_IGCC_CCS",2080,"capital",1239,0.13
"349","intermediate generation","coal","coal_int_IGCC_CCS",2085,"capital",1226,0.13
"350","intermediate generation","coal","coal_int_IGCC_CCS",2090,"capital",1216,0.13
"351","intermediate generation","coal","coal_int_IGCC_CCS",2095,"capital",1206,0.13
"352","intermediate generation","coal","coal_int_IGCC_CCS",2100,"capital",1198,0.13
"353","subpeak generation","coal","coal_subpeak_conv pul",1975,"capital",1015,0.13
"354","subpeak generation","coal","coal_subpeak_conv pul",1990,"capital",1015,0.13
"355","subpeak generation","coal","coal_subpeak_conv pul",2005,"capital",1015,0.13
"356","subpeak generation","coal","coal_subpeak_conv pul",2010,"capital",1015,0.13
"357","subpeak generation","coal","coal_subpeak_conv pul",2015,"capital",1015,0.13
"358","subpeak generation","coal","coal_subpeak_conv pul",2020,"capital",999,0.13
"359","subpeak generation","coal","coal_subpeak_conv pul",2025,"capital",985,0.13
"360","subpeak generation","coal","coal_subpeak_conv pul",2030,"capital",972,0.13
"361","subpeak generation","coal","coal_subpeak_conv pul",2035,"capital",961,0.13
"362","subpeak generation","coal","coal_subpeak_conv pul",2040,"capital",950,0.13
"363","subpeak generation","coal","coal_subpeak_conv pul",2045,"capital",941,0.13
