"","supplysector","subsector","technology","year","capacity.factor"
"1","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85
"2","base load generation","coal","coal_base_conv pul_retire_2020",1990,0.85
"3","base load generation","coal","coal_base_conv pul_retire_2020",2005,0.85
"4","base load generation","coal","coal_base_conv pul_retire_2020",2010,0.85
"5","base load generation","coal","coal_base_conv pul_retire_2020",2015,0.85
"6","base load generation","coal","coal_base_conv pul_retire_2020",2020,0.85
"7","base load generation","coal","coal_base_conv pul_retire_2020",2025,0.85
"8","base load generation","coal","coal_base_conv pul_retire_2020",2030,0.85
"9","base load generation","coal","coal_base_conv pul_retire_2020",2035,0.85
"10","base load generation","coal","coal_base_conv pul_retire_2020",2040,0.85
"11","base load generation","coal","coal_base_conv pul_retire_2020",2045,0.85
"12","base load generation","coal","coal_base_conv pul_retire_2020",2050,0.85
"13","base load generation","coal","coal_base_conv pul_retire_2020",2055,0.85
"14","base load generation","coal","coal_base_conv pul_retire_2020",2060,0.85
"15","base load generation","coal","coal_base_conv pul_retire_2020",2065,0.85
"16","base load generation","coal","coal_base_conv pul_retire_2020",2070,0.85
"17","base load generation","coal","coal_base_conv pul_retire_2020",2075,0.85
"18","base load generation","coal","coal_base_conv pul_retire_2020",2080,0.85
"19","base load generation","coal","coal_base_conv pul_retire_2020",2085,0.85
"20","base load generation","coal","coal_base_conv pul_retire_2020",2090,0.85
"21","base load generation","coal","coal_base_conv pul_retire_2020",2095,0.85
"22","base load generation","coal","coal_base_conv pul_retire_2020",2100,0.85
"23","intermediate generation","coal","coal_int_conv pul_retire_2020",1975,0.289
"24","intermediate generation","coal","coal_int_conv pul_retire_2020",1990,0.289
"25","intermediate generation","coal","coal_int_conv pul_retire_2020",2005,0.289
"26","intermediate generation","coal","coal_int_conv pul_retire_2020",2010,0.289
"27","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,0.289
"28","intermediate generation","coal","coal_int_conv pul_retire_2020",2020,0.289
"29","intermediate generation","coal","coal_int_conv pul_retire_2020",2025,0.289
