"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"1","AZ","intermediate generation","solar","CSP_int",1975,0.37,"electricity","CSP_int (recirculating)","CSP","recirculating","fresh"
"2","AZ","intermediate generation","solar","CSP_int",1975,0.37,"electricity","CSP_int (dry_hybrid)","CSP","dry_hybrid","fresh"
"3","AZ","subpeak generation","solar","CSP_subpeak",1975,0.37,"electricity","CSP_subpeak (recirculating)","CSP","recirculating","fresh"
"4","AZ","subpeak generation","solar","CSP_subpeak",1975,0.37,"electricity","CSP_subpeak (dry_hybrid)","CSP","dry_hybrid","fresh"
"5","AZ","peak generation","solar","CSP_peak",1975,0.37,"electricity","CSP_peak (recirculating)","CSP","recirculating","fresh"
"6","AZ","peak generation","solar","CSP_peak",1975,0.37,"electricity","CSP_peak (dry_hybrid)","CSP","dry_hybrid","fresh"
"7","AZ","base load generation","solar","CSP_base_storage",1975,0.57,"electricity","CSP_base_storage","CSP","recirculating","fresh"
"8","AZ","intermediate generation","solar","CSP_int",1990,0.37,"electricity","CSP_int (recirculating)","CSP","recirculating","fresh"
"9","AZ","intermediate generation","solar","CSP_int",1990,0.37,"electricity","CSP_int (dry_hybrid)","CSP","dry_hybrid","fresh"
"10","AZ","subpeak generation","solar","CSP_subpeak",1990,0.37,"electricity","CSP_subpeak (recirculating)","CSP","recirculating","fresh"
"11","AZ","subpeak generation","solar","CSP_subpeak",1990,0.37,"electricity","CSP_subpeak (dry_hybrid)","CSP","dry_hybrid","fresh"
"12","AZ","peak generation","solar","CSP_peak",1990,0.37,"electricity","CSP_peak (recirculating)","CSP","recirculating","fresh"
"13","AZ","peak generation","solar","CSP_peak",1990,0.37,"electricity","CSP_peak (dry_hybrid)","CSP","dry_hybrid","fresh"
"14","AZ","base load generation","solar","CSP_base_storage",1990,0.57,"electricity","CSP_base_storage","CSP","recirculating","fresh"
