"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"1","AK","intermediate generation","solar","PV_int",1975,0.11,"electricity","PV_int","no cooling","none","fresh"
"2","AK","subpeak generation","solar","PV_subpeak",1975,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"3","AK","peak generation","solar","PV_peak",1975,0.11,"electricity","PV_peak","no cooling","none","fresh"
"4","AK","base load generation","solar","PV_base_storage",1975,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"5","AK","intermediate generation","solar","PV_int",1990,0.11,"electricity","PV_int","no cooling","none","fresh"
"6","AK","subpeak generation","solar","PV_subpeak",1990,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"7","AK","peak generation","solar","PV_peak",1990,0.11,"electricity","PV_peak","no cooling","none","fresh"
"8","AK","base load generation","solar","PV_base_storage",1990,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"9","AK","intermediate generation","solar","PV_int",2005,0.11,"electricity","PV_int","no cooling","none","fresh"
"10","AK","subpeak generation","solar","PV_subpeak",2005,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"11","AK","peak generation","solar","PV_peak",2005,0.11,"electricity","PV_peak","no cooling","none","fresh"
"12","AK","base load generation","solar","PV_base_storage",2005,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"13","AK","intermediate generation","solar","PV_int",2010,0.11,"electricity","PV_int","no cooling","none","fresh"
"14","AK","subpeak generation","solar","PV_subpeak",2010,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"15","AK","peak generation","solar","PV_peak",2010,0.11,"electricity","PV_peak","no cooling","none","fresh"
"16","AK","base load generation","solar","PV_base_storage",2010,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"17","AK","intermediate generation","solar","PV_int",2015,0.11,"electricity","PV_int","no cooling","none","fresh"
"18","AK","subpeak generation","solar","PV_subpeak",2015,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"19","AK","peak generation","solar","PV_peak",2015,0.11,"electricity","PV_peak","no cooling","none","fresh"
"20","AK","base load generation","solar","PV_base_storage",2015,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"21","AK","intermediate generation","solar","PV_int",2020,0.11,"electricity","PV_int","no cooling","none","fresh"
"22","AK","subpeak generation","solar","PV_subpeak",2020,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"23","AK","peak generation","solar","PV_peak",2020,0.11,"electricity","PV_peak","no cooling","none","fresh"
"24","AK","base load generation","solar","PV_base_storage",2020,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"25","AK","intermediate generation","solar","PV_int",2025,0.11,"electricity","PV_int","no cooling","none","fresh"
"26","AK","subpeak generation","solar","PV_subpeak",2025,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"27","AK","peak generation","solar","PV_peak",2025,0.11,"electricity","PV_peak","no cooling","none","fresh"
"28","AK","base load generation","solar","PV_base_storage",2025,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"29","AK","intermediate generation","solar","PV_int",2030,0.11,"electricity","PV_int","no cooling","none","fresh"
"30","AK","subpeak generation","solar","PV_subpeak",2030,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"31","AK","peak generation","solar","PV_peak",2030,0.11,"electricity","PV_peak","no cooling","none","fresh"
"32","AK","base load generation","solar","PV_base_storage",2030,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"33","AK","intermediate generation","solar","PV_int",2035,0.11,"electricity","PV_int","no cooling","none","fresh"
"34","AK","subpeak generation","solar","PV_subpeak",2035,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"35","AK","peak generation","solar","PV_peak",2035,0.11,"electricity","PV_peak","no cooling","none","fresh"
"36","AK","base load generation","solar","PV_base_storage",2035,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"37","AK","intermediate generation","solar","PV_int",2040,0.11,"electricity","PV_int","no cooling","none","fresh"
"38","AK","subpeak generation","solar","PV_subpeak",2040,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"39","AK","peak generation","solar","PV_peak",2040,0.11,"electricity","PV_peak","no cooling","none","fresh"
"40","AK","base load generation","solar","PV_base_storage",2040,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"41","AK","intermediate generation","solar","PV_int",2045,0.11,"electricity","PV_int","no cooling","none","fresh"
"42","AK","subpeak generation","solar","PV_subpeak",2045,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"43","AK","peak generation","solar","PV_peak",2045,0.11,"electricity","PV_peak","no cooling","none","fresh"
"44","AK","base load generation","solar","PV_base_storage",2045,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"45","AK","intermediate generation","solar","PV_int",2050,0.11,"electricity","PV_int","no cooling","none","fresh"
"46","AK","subpeak generation","solar","PV_subpeak",2050,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"47","AK","peak generation","solar","PV_peak",2050,0.11,"electricity","PV_peak","no cooling","none","fresh"
"48","AK","base load generation","solar","PV_base_storage",2050,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"49","AK","intermediate generation","solar","PV_int",2055,0.11,"electricity","PV_int","no cooling","none","fresh"
"50","AK","subpeak generation","solar","PV_subpeak",2055,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"51","AK","peak generation","solar","PV_peak",2055,0.11,"electricity","PV_peak","no cooling","none","fresh"
"52","AK","base load generation","solar","PV_base_storage",2055,0.11,"electricity","PV_base_storage","no cooling","none","fresh"
"53","AK","intermediate generation","solar","PV_int",2060,0.11,"electricity","PV_int","no cooling","none","fresh"
"54","AK","subpeak generation","solar","PV_subpeak",2060,0.11,"electricity","PV_subpeak","no cooling","none","fresh"
"55","AK","peak generation","solar","PV_peak",2060,0.11,"electricity","PV_peak","no cooling","none","fresh"
