"","sector.name","subsector.name0","subsector.name","year","lifetime","technology"
"36","base load generation","coal","coal_base_IGCC_CCS",2020,60,"coal (IGCC CCS) (dry cooling)"
"37","base load generation","gas","gas_base_CC",2020,45,"gas (CC) (once through)"
"38","base load generation","gas","gas_base_CC",2020,45,"gas (CC) (seawater)"
"39","base load generation","gas","gas_base_CC",2020,45,"gas (CC) (recirculating)"
"40","base load generation","gas","gas_base_CC",2020,45,"gas (CC) (cooling pond)"
"41","base load generation","gas","gas_base_CC",2020,45,"gas (CC) (dry cooling)"
"42","base load generation","gas","gas_base_CC_CCS",2020,45,"gas (CC CCS) (once through)"
"43","base load generation","gas","gas_base_CC_CCS",2020,45,"gas (CC CCS) (seawater)"
"44","base load generation","gas","gas_base_CC_CCS",2020,45,"gas (CC CCS) (recirculating)"
"45","base load generation","gas","gas_base_CC_CCS",2020,45,"gas (CC CCS) (dry cooling)"
"46","base load generation","geothermal","geo_base",2020,30,"geothermal (recirculating)"
"47","base load generation","geothermal","geo_base",2020,30,"geothermal (dry_hybrid)"
"48","base load generation","nuclear","nuc_base_Gen III",2020,60,"Gen_III (once through)"
"49","base load generation","nuclear","nuc_base_Gen III",2020,60,"Gen_III (seawater)"
"50","base load generation","nuclear","nuc_base_Gen III",2020,60,"Gen_III (recirculating)"
"51","base load generation","nuclear","nuc_base_Gen III",2020,60,"Gen_III (cooling pond)"
"52","base load generation","refined liquids","refined liquids_base_steam/CT",2020,45,"refined liquids (steam/CT) (once through)"
"53","base load generation","refined liquids","refined liquids_base_steam/CT",2020,45,"refined liquids (steam/CT) (seawater)"
"54","base load generation","refined liquids","refined liquids_base_steam/CT",2020,45,"refined liquids (steam/CT) (recirculating)"
"55","base load generation","refined liquids","refined liquids_base_steam/CT",2020,45,"refined liquids (steam/CT) (cooling pond)"
"56","base load generation","refined liquids","refined liquids_base_steam/CT",2020,45,"refined liquids (steam/CT) (dry cooling)"
"57","base load generation","refined liquids","refined liquids_base_CC",2020,45,"refined liquids (CC) (once through)"
"58","base load generation","refined liquids","refined liquids_base_CC",2020,45,"refined liquids (CC) (seawater)"
"59","base load generation","refined liquids","refined liquids_base_CC",2020,45,"refined liquids (CC) (recirculating)"
"60","base load generation","refined liquids","refined liquids_base_CC",2020,45,"refined liquids (CC) (dry cooling)"
"61","base load generation","refined liquids","refined liquids_base_CC_CCS",2020,45,"refined liquids (CC CCS) (once through)"
"62","base load generation","refined liquids","refined liquids_base_CC_CCS",2020,45,"refined liquids (CC CCS) (seawater)"
"63","base load generation","refined liquids","refined liquids_base_CC_CCS",2020,45,"refined liquids (CC CCS) (recirculating)"
"64","base load generation","refined liquids","refined liquids_base_CC_CCS",2020,45,"refined liquids (CC CCS) (dry cooling)"
"65","base load generation","solar","PV_base_storage",2020,30,"PV_base_storage"
"66","base load generation","solar","CSP_base_storage",2020,30,"CSP_base_storage"
"67","base load generation","wind","wind_base_storage",2020,30,"wind_base_storage"
"68","base load generation","biomass","biomass_base_conv",2025,60,"biomass (conv) (once through)"
"69","base load generation","biomass","biomass_base_conv",2025,60,"biomass (conv) (seawater)"
"70","base load generation","biomass","biomass_base_conv",2025,60,"biomass (conv) (recirculating)"
"71","base load generation","biomass","biomass_base_conv",2025,60,"biomass (conv) (cooling pond)"
"72","base load generation","biomass","biomass_base_conv",2025,60,"biomass (conv) (dry cooling)"
"73","base load generation","biomass","biomass_base_conv_CCS",2025,60,"biomass (conv CCS) (once through)"
"74","base load generation","biomass","biomass_base_conv_CCS",2025,60,"biomass (conv CCS) (seawater)"
"75","base load generation","biomass","biomass_base_conv_CCS",2025,60,"biomass (conv CCS) (recirculating)"
"76","base load generation","biomass","biomass_base_conv_CCS",2025,60,"biomass (conv CCS) (dry cooling)"
"77","base load generation","biomass","biomass_base_IGCC",2025,60,"biomass (IGCC) (once through)"
"78","base load generation","biomass","biomass_base_IGCC",2025,60,"biomass (IGCC) (seawater)"
"79","base load generation","biomass","biomass_base_IGCC",2025,60,"biomass (IGCC) (recirculating)"
"80","base load generation","biomass","biomass_base_IGCC",2025,60,"biomass (IGCC) (dry cooling)"
"81","base load generation","biomass","biomass_base_IGCC_CCS",2025,60,"biomass (IGCC CCS) (once through)"
"82","base load generation","biomass","biomass_base_IGCC_CCS",2025,60,"biomass (IGCC CCS) (seawater)"
"83","base load generation","biomass","biomass_base_IGCC_CCS",2025,60,"biomass (IGCC CCS) (recirculating)"
"84","base load generation","biomass","biomass_base_IGCC_CCS",2025,60,"biomass (IGCC CCS) (dry cooling)"
"85","base load generation","coal","coal_base_conv pul",2025,60,"coal (conv pul) (once through)"
"86","base load generation","coal","coal_base_conv pul",2025,60,"coal (conv pul) (seawater)"
"87","base load generation","coal","coal_base_conv pul",2025,60,"coal (conv pul) (recirculating)"
"88","base load generation","coal","coal_base_conv pul",2025,60,"coal (conv pul) (cooling pond)"
"89","base load generation","coal","coal_base_conv pul",2025,60,"coal (conv pul) (dry cooling)"
"90","base load generation","coal","coal_base_conv pul_CCS",2025,60,"coal (conv pul CCS) (once through)"
"91","base load generation","coal","coal_base_conv pul_CCS",2025,60,"coal (conv pul CCS) (seawater)"
"92","base load generation","coal","coal_base_conv pul_CCS",2025,60,"coal (conv pul CCS) (recirculating)"
"93","base load generation","coal","coal_base_conv pul_CCS",2025,60,"coal (conv pul CCS) (dry cooling)"
