"","sector.name","subsector.name","technology","year","capacity.factor"
"1","base load generation","coal","coal_base_conv pul 1951-1955",1975,0.85
"2","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85
"3","base load generation","coal","coal_base_conv pul 1951-1955",2005,0.85
"4","base load generation","coal","coal_base_conv pul 1951-1955",2010,0.85
"5","base load generation","coal","coal_base_conv pul 1951-1955",2015,0.85
"6","base load generation","coal","coal_base_conv pul 1951-1955",2020,0.85
"7","base load generation","coal","coal_base_conv pul 1951-1955",2025,0.85
"8","base load generation","coal","coal_base_conv pul 1951-1955",2030,0.85
"9","base load generation","coal","coal_base_conv pul 1951-1955",2035,0.85
"10","base load generation","coal","coal_base_conv pul 1951-1955",2040,0.85
"11","base load generation","coal","coal_base_conv pul 1951-1955",2045,0.85
"12","base load generation","coal","coal_base_conv pul 1951-1955",2050,0.85
"13","base load generation","coal","coal_base_conv pul 1951-1955",2055,0.85
"14","base load generation","coal","coal_base_conv pul 1951-1955",2060,0.85
"15","base load generation","coal","coal_base_conv pul 1951-1955",2065,0.85
"16","base load generation","coal","coal_base_conv pul 1951-1955",2070,0.85
"17","base load generation","coal","coal_base_conv pul 1951-1955",2075,0.85
"18","base load generation","coal","coal_base_conv pul 1951-1955",2080,0.85
"19","base load generation","coal","coal_base_conv pul 1951-1955",2085,0.85
"20","base load generation","coal","coal_base_conv pul 1951-1955",2090,0.85
"21","base load generation","coal","coal_base_conv pul 1951-1955",2095,0.85
"22","base load generation","coal","coal_base_conv pul 1951-1955",2100,0.85
"23","base load generation","coal","coal_base_conv pul 1956-1960",1975,0.85
"24","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85
"25","base load generation","coal","coal_base_conv pul 1956-1960",2005,0.85
"26","base load generation","coal","coal_base_conv pul 1956-1960",2010,0.85
"27","base load generation","coal","coal_base_conv pul 1956-1960",2015,0.85
"28","base load generation","coal","coal_base_conv pul 1956-1960",2020,0.85
"29","base load generation","coal","coal_base_conv pul 1956-1960",2025,0.85
"30","base load generation","coal","coal_base_conv pul 1956-1960",2030,0.85
"31","base load generation","coal","coal_base_conv pul 1956-1960",2035,0.85
"32","base load generation","coal","coal_base_conv pul 1956-1960",2040,0.85
"33","base load generation","coal","coal_base_conv pul 1956-1960",2045,0.85
"34","base load generation","coal","coal_base_conv pul 1956-1960",2050,0.85
"35","base load generation","coal","coal_base_conv pul 1956-1960",2055,0.85
"36","base load generation","coal","coal_base_conv pul 1956-1960",2060,0.85
"37","base load generation","coal","coal_base_conv pul 1956-1960",2065,0.85
"38","base load generation","coal","coal_base_conv pul 1956-1960",2070,0.85
"39","base load generation","coal","coal_base_conv pul 1956-1960",2075,0.85
"40","base load generation","coal","coal_base_conv pul 1956-1960",2080,0.85
"41","base load generation","coal","coal_base_conv pul 1956-1960",2085,0.85
"42","base load generation","coal","coal_base_conv pul 1956-1960",2090,0.85
"43","base load generation","coal","coal_base_conv pul 1956-1960",2095,0.85
"44","base load generation","coal","coal_base_conv pul 1956-1960",2100,0.85
"45","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85
"46","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85
"47","base load generation","coal","coal_base_conv pul 1961-1965",2005,0.85
"48","base load generation","coal","coal_base_conv pul 1961-1965",2010,0.85
"49","base load generation","coal","coal_base_conv pul 1961-1965",2015,0.85
"50","base load generation","coal","coal_base_conv pul 1961-1965",2020,0.85
"51","base load generation","coal","coal_base_conv pul 1961-1965",2025,0.85
"52","base load generation","coal","coal_base_conv pul 1961-1965",2030,0.85
"53","base load generation","coal","coal_base_conv pul 1961-1965",2035,0.85
"54","base load generation","coal","coal_base_conv pul 1961-1965",2040,0.85
"55","base load generation","coal","coal_base_conv pul 1961-1965",2045,0.85
"56","base load generation","coal","coal_base_conv pul 1961-1965",2050,0.85
"57","base load generation","coal","coal_base_conv pul 1961-1965",2055,0.85
