"","sector.name","subsector.name","technology","year","capacity.factor"
"58","base load generation","coal","coal_base_conv pul 1961-1965",2060,0.85
"59","base load generation","coal","coal_base_conv pul 1961-1965",2065,0.85
"60","base load generation","coal","coal_base_conv pul 1961-1965",2070,0.85
"61","base load generation","coal","coal_base_conv pul 1961-1965",2075,0.85
"62","base load generation","coal","coal_base_conv pul 1961-1965",2080,0.85
"63","base load generation","coal","coal_base_conv pul 1961-1965",2085,0.85
"64","base load generation","coal","coal_base_conv pul 1961-1965",2090,0.85
"65","base load generation","coal","coal_base_conv pul 1961-1965",2095,0.85
"66","base load generation","coal","coal_base_conv pul 1961-1965",2100,0.85
"67","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85
"68","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85
"69","base load generation","coal","coal_base_conv pul 1966-1970",2005,0.85
"70","base load generation","coal","coal_base_conv pul 1966-1970",2010,0.85
"71","base load generation","coal","coal_base_conv pul 1966-1970",2015,0.85
"72","base load generation","coal","coal_base_conv pul 1966-1970",2020,0.85
"73","base load generation","coal","coal_base_conv pul 1966-1970",2025,0.85
"74","base load generation","coal","coal_base_conv pul 1966-1970",2030,0.85
"75","base load generation","coal","coal_base_conv pul 1966-1970",2035,0.85
"76","base load generation","coal","coal_base_conv pul 1966-1970",2040,0.85
"77","base load generation","coal","coal_base_conv pul 1966-1970",2045,0.85
"78","base load generation","coal","coal_base_conv pul 1966-1970",2050,0.85
"79","base load generation","coal","coal_base_conv pul 1966-1970",2055,0.85
"80","base load generation","coal","coal_base_conv pul 1966-1970",2060,0.85
"81","base load generation","coal","coal_base_conv pul 1966-1970",2065,0.85
"82","base load generation","coal","coal_base_conv pul 1966-1970",2070,0.85
"83","base load generation","coal","coal_base_conv pul 1966-1970",2075,0.85
"84","base load generation","coal","coal_base_conv pul 1966-1970",2080,0.85
"85","base load generation","coal","coal_base_conv pul 1966-1970",2085,0.85
"86","base load generation","coal","coal_base_conv pul 1966-1970",2090,0.85
"87","base load generation","coal","coal_base_conv pul 1966-1970",2095,0.85
"88","base load generation","coal","coal_base_conv pul 1966-1970",2100,0.85
"89","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85
"90","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85
"91","base load generation","coal","coal_base_conv pul 1971-1975",2005,0.85
"92","base load generation","coal","coal_base_conv pul 1971-1975",2010,0.85
"93","base load generation","coal","coal_base_conv pul 1971-1975",2015,0.85
"94","base load generation","coal","coal_base_conv pul 1971-1975",2020,0.85
"95","base load generation","coal","coal_base_conv pul 1971-1975",2025,0.85
"96","base load generation","coal","coal_base_conv pul 1971-1975",2030,0.85
"97","base load generation","coal","coal_base_conv pul 1971-1975",2035,0.85
"98","base load generation","coal","coal_base_conv pul 1971-1975",2040,0.85
"99","base load generation","coal","coal_base_conv pul 1971-1975",2045,0.85
"100","base load generation","coal","coal_base_conv pul 1971-1975",2050,0.85
"101","base load generation","coal","coal_base_conv pul 1971-1975",2055,0.85
"102","base load generation","coal","coal_base_conv pul 1971-1975",2060,0.85
"103","base load generation","coal","coal_base_conv pul 1971-1975",2065,0.85
"104","base load generation","coal","coal_base_conv pul 1971-1975",2070,0.85
"105","base load generation","coal","coal_base_conv pul 1971-1975",2075,0.85
"106","base load generation","coal","coal_base_conv pul 1971-1975",2080,0.85
"107","base load generation","coal","coal_base_conv pul 1971-1975",2085,0.85
"108","base load generation","coal","coal_base_conv pul 1971-1975",2090,0.85
"109","base load generation","coal","coal_base_conv pul 1971-1975",2095,0.85
"110","base load generation","coal","coal_base_conv pul 1971-1975",2100,0.85
"111","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85
"112","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85
"113","base load generation","coal","coal_base_conv pul 1976-1980",2005,0.85
"114","base load generation","coal","coal_base_conv pul 1976-1980",2010,0.85
"115","base load generation","coal","coal_base_conv pul 1976-1980",2015,0.85
"116","base load generation","coal","coal_base_conv pul 1976-1980",2020,0.85
"117","base load generation","coal","coal_base_conv pul 1976-1980",2025,0.85
"118","base load generation","coal","coal_base_conv pul 1976-1980",2030,0.85
"119","base load generation","coal","coal_base_conv pul 1976-1980",2035,0.85
"120","base load generation","coal","coal_base_conv pul 1976-1980",2040,0.85
"121","base load generation","coal","coal_base_conv pul 1976-1980",2045,0.85
"122","base load generation","coal","coal_base_conv pul 1976-1980",2050,0.85
"123","base load generation","coal","coal_base_conv pul 1976-1980",2055,0.85
"124","base load generation","coal","coal_base_conv pul 1976-1980",2060,0.85
"125","base load generation","coal","coal_base_conv pul 1976-1980",2065,0.85
"126","base load generation","coal","coal_base_conv pul 1976-1980",2070,0.85
"127","base load generation","coal","coal_base_conv pul 1976-1980",2075,0.85
"128","base load generation","coal","coal_base_conv pul 1976-1980",2080,0.85
"129","base load generation","coal","coal_base_conv pul 1976-1980",2085,0.85
"130","base load generation","coal","coal_base_conv pul 1976-1980",2090,0.85
"131","base load generation","coal","coal_base_conv pul 1976-1980",2095,0.85
"132","base load generation","coal","coal_base_conv pul 1976-1980",2100,0.85
"133","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85
"134","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85
"135","base load generation","coal","coal_base_conv pul 1981-1985",2005,0.85
"136","base load generation","coal","coal_base_conv pul 1981-1985",2010,0.85
"137","base load generation","coal","coal_base_conv pul 1981-1985",2015,0.85
"138","base load generation","coal","coal_base_conv pul 1981-1985",2020,0.85
"139","base load generation","coal","coal_base_conv pul 1981-1985",2025,0.85
"140","base load generation","coal","coal_base_conv pul 1981-1985",2030,0.85
"141","base load generation","coal","coal_base_conv pul 1981-1985",2035,0.85
"142","base load generation","coal","coal_base_conv pul 1981-1985",2040,0.85
"143","base load generation","coal","coal_base_conv pul 1981-1985",2045,0.85
"144","base load generation","coal","coal_base_conv pul 1981-1985",2050,0.85
"145","base load generation","coal","coal_base_conv pul 1981-1985",2055,0.85
"146","base load generation","coal","coal_base_conv pul 1981-1985",2060,0.85
"147","base load generation","coal","coal_base_conv pul 1981-1985",2065,0.85
"148","base load generation","coal","coal_base_conv pul 1981-1985",2070,0.85
"149","base load generation","coal","coal_base_conv pul 1981-1985",2075,0.85
"150","base load generation","coal","coal_base_conv pul 1981-1985",2080,0.85
"151","base load generation","coal","coal_base_conv pul 1981-1985",2085,0.85
"152","base load generation","coal","coal_base_conv pul 1981-1985",2090,0.85
"153","base load generation","coal","coal_base_conv pul 1981-1985",2095,0.85
"154","base load generation","coal","coal_base_conv pul 1981-1985",2100,0.85
"155","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85
"156","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85
"157","base load generation","coal","coal_base_conv pul 1986-1990",2005,0.85
"158","base load generation","coal","coal_base_conv pul 1986-1990",2010,0.85
"159","base load generation","coal","coal_base_conv pul 1986-1990",2015,0.85
"160","base load generation","coal","coal_base_conv pul 1986-1990",2020,0.85
"161","base load generation","coal","coal_base_conv pul 1986-1990",2025,0.85
"162","base load generation","coal","coal_base_conv pul 1986-1990",2030,0.85
"163","base load generation","coal","coal_base_conv pul 1986-1990",2035,0.85
"164","base load generation","coal","coal_base_conv pul 1986-1990",2040,0.85
"165","base load generation","coal","coal_base_conv pul 1986-1990",2045,0.85
"166","base load generation","coal","coal_base_conv pul 1986-1990",2050,0.85
"167","base load generation","coal","coal_base_conv pul 1986-1990",2055,0.85
"168","base load generation","coal","coal_base_conv pul 1986-1990",2060,0.85
"169","base load generation","coal","coal_base_conv pul 1986-1990",2065,0.85
"170","base load generation","coal","coal_base_conv pul 1986-1990",2070,0.85
"171","base load generation","coal","coal_base_conv pul 1986-1990",2075,0.85
"172","base load generation","coal","coal_base_conv pul 1986-1990",2080,0.85
"173","base load generation","coal","coal_base_conv pul 1986-1990",2085,0.85
"174","base load generation","coal","coal_base_conv pul 1986-1990",2090,0.85
"175","base load generation","coal","coal_base_conv pul 1986-1990",2095,0.85
"176","base load generation","coal","coal_base_conv pul 1986-1990",2100,0.85
"177","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85
"178","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85
"179","base load generation","coal","coal_base_conv pul 1991-1995",2005,0.85
"180","base load generation","coal","coal_base_conv pul 1991-1995",2010,0.85
"181","base load generation","coal","coal_base_conv pul 1991-1995",2015,0.85
"182","base load generation","coal","coal_base_conv pul 1991-1995",2020,0.85
"183","base load generation","coal","coal_base_conv pul 1991-1995",2025,0.85
"184","base load generation","coal","coal_base_conv pul 1991-1995",2030,0.85
"185","base load generation","coal","coal_base_conv pul 1991-1995",2035,0.85
"186","base load generation","coal","coal_base_conv pul 1991-1995",2040,0.85
"187","base load generation","coal","coal_base_conv pul 1991-1995",2045,0.85
"188","base load generation","coal","coal_base_conv pul 1991-1995",2050,0.85
"189","base load generation","coal","coal_base_conv pul 1991-1995",2055,0.85
"190","base load generation","coal","coal_base_conv pul 1991-1995",2060,0.85
"191","base load generation","coal","coal_base_conv pul 1991-1995",2065,0.85
"192","base load generation","coal","coal_base_conv pul 1991-1995",2070,0.85
"193","base load generation","coal","coal_base_conv pul 1991-1995",2075,0.85
"194","base load generation","coal","coal_base_conv pul 1991-1995",2080,0.85
"195","base load generation","coal","coal_base_conv pul 1991-1995",2085,0.85
"196","base load generation","coal","coal_base_conv pul 1991-1995",2090,0.85
"197","base load generation","coal","coal_base_conv pul 1991-1995",2095,0.85
"198","base load generation","coal","coal_base_conv pul 1991-1995",2100,0.85
"199","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85
"200","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85
"201","base load generation","coal","coal_base_conv pul 1996-2000",2005,0.85
"202","base load generation","coal","coal_base_conv pul 1996-2000",2010,0.85
"203","base load generation","coal","coal_base_conv pul 1996-2000",2015,0.85
"204","base load generation","coal","coal_base_conv pul 1996-2000",2020,0.85
"205","base load generation","coal","coal_base_conv pul 1996-2000",2025,0.85
"206","base load generation","coal","coal_base_conv pul 1996-2000",2030,0.85
"207","base load generation","coal","coal_base_conv pul 1996-2000",2035,0.85
"208","base load generation","coal","coal_base_conv pul 1996-2000",2040,0.85
"209","base load generation","coal","coal_base_conv pul 1996-2000",2045,0.85
"210","base load generation","coal","coal_base_conv pul 1996-2000",2050,0.85
"211","base load generation","coal","coal_base_conv pul 1996-2000",2055,0.85
"212","base load generation","coal","coal_base_conv pul 1996-2000",2060,0.85
"213","base load generation","coal","coal_base_conv pul 1996-2000",2065,0.85
"214","base load generation","coal","coal_base_conv pul 1996-2000",2070,0.85
"215","base load generation","coal","coal_base_conv pul 1996-2000",2075,0.85
"216","base load generation","coal","coal_base_conv pul 1996-2000",2080,0.85
"217","base load generation","coal","coal_base_conv pul 1996-2000",2085,0.85
"218","base load generation","coal","coal_base_conv pul 1996-2000",2090,0.85
"219","base load generation","coal","coal_base_conv pul 1996-2000",2095,0.85
"220","base load generation","coal","coal_base_conv pul 1996-2000",2100,0.85
"221","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85
"222","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85
"223","base load generation","coal","coal_base_conv pul 2001-2005",2005,0.85
"224","base load generation","coal","coal_base_conv pul 2001-2005",2010,0.85
"225","base load generation","coal","coal_base_conv pul 2001-2005",2015,0.85
"226","base load generation","coal","coal_base_conv pul 2001-2005",2020,0.85
"227","base load generation","coal","coal_base_conv pul 2001-2005",2025,0.85
"228","base load generation","coal","coal_base_conv pul 2001-2005",2030,0.85
"229","base load generation","coal","coal_base_conv pul 2001-2005",2035,0.85
"230","base load generation","coal","coal_base_conv pul 2001-2005",2040,0.85
"231","base load generation","coal","coal_base_conv pul 2001-2005",2045,0.85
"232","base load generation","coal","coal_base_conv pul 2001-2005",2050,0.85
"233","base load generation","coal","coal_base_conv pul 2001-2005",2055,0.85
"234","base load generation","coal","coal_base_conv pul 2001-2005",2060,0.85
"235","base load generation","coal","coal_base_conv pul 2001-2005",2065,0.85
"236","base load generation","coal","coal_base_conv pul 2001-2005",2070,0.85
"237","base load generation","coal","coal_base_conv pul 2001-2005",2075,0.85
"238","base load generation","coal","coal_base_conv pul 2001-2005",2080,0.85
"239","base load generation","coal","coal_base_conv pul 2001-2005",2085,0.85
"240","base load generation","coal","coal_base_conv pul 2001-2005",2090,0.85
"241","base load generation","coal","coal_base_conv pul 2001-2005",2095,0.85
"242","base load generation","coal","coal_base_conv pul 2001-2005",2100,0.85
"243","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85
"244","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85
"245","base load generation","coal","coal_base_conv pul 2006-2010",2005,0.85
"246","base load generation","coal","coal_base_conv pul 2006-2010",2010,0.85
"247","base load generation","coal","coal_base_conv pul 2006-2010",2015,0.85
"248","base load generation","coal","coal_base_conv pul 2006-2010",2020,0.85
"249","base load generation","coal","coal_base_conv pul 2006-2010",2025,0.85
"250","base load generation","coal","coal_base_conv pul 2006-2010",2030,0.85
"251","base load generation","coal","coal_base_conv pul 2006-2010",2035,0.85
"252","base load generation","coal","coal_base_conv pul 2006-2010",2040,0.85
"253","base load generation","coal","coal_base_conv pul 2006-2010",2045,0.85
"254","base load generation","coal","coal_base_conv pul 2006-2010",2050,0.85
"255","base load generation","coal","coal_base_conv pul 2006-2010",2055,0.85
"256","base load generation","coal","coal_base_conv pul 2006-2010",2060,0.85
"257","base load generation","coal","coal_base_conv pul 2006-2010",2065,0.85
"258","base load generation","coal","coal_base_conv pul 2006-2010",2070,0.85
"259","base load generation","coal","coal_base_conv pul 2006-2010",2075,0.85
"260","base load generation","coal","coal_base_conv pul 2006-2010",2080,0.85
"261","base load generation","coal","coal_base_conv pul 2006-2010",2085,0.85
"262","base load generation","coal","coal_base_conv pul 2006-2010",2090,0.85
"263","base load generation","coal","coal_base_conv pul 2006-2010",2095,0.85
"264","base load generation","coal","coal_base_conv pul 2006-2010",2100,0.85
"265","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85
"266","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85
"267","base load generation","coal","coal_base_conv pul 2011-2015",2005,0.85
"268","base load generation","coal","coal_base_conv pul 2011-2015",2010,0.85
"269","base load generation","coal","coal_base_conv pul 2011-2015",2015,0.85
"270","base load generation","coal","coal_base_conv pul 2011-2015",2020,0.85
"271","base load generation","coal","coal_base_conv pul 2011-2015",2025,0.85
"272","base load generation","coal","coal_base_conv pul 2011-2015",2030,0.85
"273","base load generation","coal","coal_base_conv pul 2011-2015",2035,0.85
"274","base load generation","coal","coal_base_conv pul 2011-2015",2040,0.85
"275","base load generation","coal","coal_base_conv pul 2011-2015",2045,0.85
"276","base load generation","coal","coal_base_conv pul 2011-2015",2050,0.85
"277","base load generation","coal","coal_base_conv pul 2011-2015",2055,0.85
"278","base load generation","coal","coal_base_conv pul 2011-2015",2060,0.85
"279","base load generation","coal","coal_base_conv pul 2011-2015",2065,0.85
"280","base load generation","coal","coal_base_conv pul 2011-2015",2070,0.85
"281","base load generation","coal","coal_base_conv pul 2011-2015",2075,0.85
"282","base load generation","coal","coal_base_conv pul 2011-2015",2080,0.85
"283","base load generation","coal","coal_base_conv pul 2011-2015",2085,0.85
"284","base load generation","coal","coal_base_conv pul 2011-2015",2090,0.85
"285","base load generation","coal","coal_base_conv pul 2011-2015",2095,0.85
"286","base load generation","coal","coal_base_conv pul 2011-2015",2100,0.85
"287","base load generation","coal","coal_base_conv pul before 1950",1975,0.85
"288","base load generation","coal","coal_base_conv pul before 1950",1990,0.85
"289","base load generation","coal","coal_base_conv pul before 1950",2005,0.85
"290","base load generation","coal","coal_base_conv pul before 1950",2010,0.85
"291","base load generation","coal","coal_base_conv pul before 1950",2015,0.85
"292","base load generation","coal","coal_base_conv pul before 1950",2020,0.85
"293","base load generation","coal","coal_base_conv pul before 1950",2025,0.85
"294","base load generation","coal","coal_base_conv pul before 1950",2030,0.85
"295","base load generation","coal","coal_base_conv pul before 1950",2035,0.85
"296","base load generation","coal","coal_base_conv pul before 1950",2040,0.85
"297","base load generation","coal","coal_base_conv pul before 1950",2045,0.85
"298","base load generation","coal","coal_base_conv pul before 1950",2050,0.85
"299","base load generation","coal","coal_base_conv pul before 1950",2055,0.85
"300","base load generation","coal","coal_base_conv pul before 1950",2060,0.85
"301","base load generation","coal","coal_base_conv pul before 1950",2065,0.85
"302","base load generation","coal","coal_base_conv pul before 1950",2070,0.85
"303","base load generation","coal","coal_base_conv pul before 1950",2075,0.85
"304","base load generation","coal","coal_base_conv pul before 1950",2080,0.85
"305","base load generation","coal","coal_base_conv pul before 1950",2085,0.85
"306","base load generation","coal","coal_base_conv pul before 1950",2090,0.85
"307","base load generation","coal","coal_base_conv pul before 1950",2095,0.85
"308","base load generation","coal","coal_base_conv pul before 1950",2100,0.85
"309","intermediate generation","coal","coal_int_conv pul 1951-1955",1975,0.289
"310","intermediate generation","coal","coal_int_conv pul 1951-1955",1990,0.289
"311","intermediate generation","coal","coal_int_conv pul 1951-1955",2005,0.289
"312","intermediate generation","coal","coal_int_conv pul 1951-1955",2010,0.289
"313","intermediate generation","coal","coal_int_conv pul 1951-1955",2015,0.289
"314","intermediate generation","coal","coal_int_conv pul 1951-1955",2020,0.289
"315","intermediate generation","coal","coal_int_conv pul 1951-1955",2025,0.289
"316","intermediate generation","coal","coal_int_conv pul 1951-1955",2030,0.289
"317","intermediate generation","coal","coal_int_conv pul 1951-1955",2035,0.289
"318","intermediate generation","coal","coal_int_conv pul 1951-1955",2040,0.289
"319","intermediate generation","coal","coal_int_conv pul 1951-1955",2045,0.289
"320","intermediate generation","coal","coal_int_conv pul 1951-1955",2050,0.289
"321","intermediate generation","coal","coal_int_conv pul 1951-1955",2055,0.289
"322","intermediate generation","coal","coal_int_conv pul 1951-1955",2060,0.289
"323","intermediate generation","coal","coal_int_conv pul 1951-1955",2065,0.289
"324","intermediate generation","coal","coal_int_conv pul 1951-1955",2070,0.289
"325","intermediate generation","coal","coal_int_conv pul 1951-1955",2075,0.289
"326","intermediate generation","coal","coal_int_conv pul 1951-1955",2080,0.289
"327","intermediate generation","coal","coal_int_conv pul 1951-1955",2085,0.289
"328","intermediate generation","coal","coal_int_conv pul 1951-1955",2090,0.289
"329","intermediate generation","coal","coal_int_conv pul 1951-1955",2095,0.289
"330","intermediate generation","coal","coal_int_conv pul 1951-1955",2100,0.289
"331","intermediate generation","coal","coal_int_conv pul 1956-1960",1975,0.289
"332","intermediate generation","coal","coal_int_conv pul 1956-1960",1990,0.289
"333","intermediate generation","coal","coal_int_conv pul 1956-1960",2005,0.289
"334","intermediate generation","coal","coal_int_conv pul 1956-1960",2010,0.289
"335","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,0.289
"336","intermediate generation","coal","coal_int_conv pul 1956-1960",2020,0.289
"337","intermediate generation","coal","coal_int_conv pul 1956-1960",2025,0.289
"338","intermediate generation","coal","coal_int_conv pul 1956-1960",2030,0.289
"339","intermediate generation","coal","coal_int_conv pul 1956-1960",2035,0.289
"340","intermediate generation","coal","coal_int_conv pul 1956-1960",2040,0.289
"341","intermediate generation","coal","coal_int_conv pul 1956-1960",2045,0.289
"342","intermediate generation","coal","coal_int_conv pul 1956-1960",2050,0.289
"343","intermediate generation","coal","coal_int_conv pul 1956-1960",2055,0.289
"344","intermediate generation","coal","coal_int_conv pul 1956-1960",2060,0.289
"345","intermediate generation","coal","coal_int_conv pul 1956-1960",2065,0.289
"346","intermediate generation","coal","coal_int_conv pul 1956-1960",2070,0.289
"347","intermediate generation","coal","coal_int_conv pul 1956-1960",2075,0.289
"348","intermediate generation","coal","coal_int_conv pul 1956-1960",2080,0.289
"349","intermediate generation","coal","coal_int_conv pul 1956-1960",2085,0.289
"350","intermediate generation","coal","coal_int_conv pul 1956-1960",2090,0.289
"351","intermediate generation","coal","coal_int_conv pul 1956-1960",2095,0.289
"352","intermediate generation","coal","coal_int_conv pul 1956-1960",2100,0.289
"353","intermediate generation","coal","coal_int_conv pul 1961-1965",1975,0.289
"354","intermediate generation","coal","coal_int_conv pul 1961-1965",1990,0.289
"355","intermediate generation","coal","coal_int_conv pul 1961-1965",2005,0.289
"356","intermediate generation","coal","coal_int_conv pul 1961-1965",2010,0.289
"357","intermediate generation","coal","coal_int_conv pul 1961-1965",2015,0.289
"358","intermediate generation","coal","coal_int_conv pul 1961-1965",2020,0.289
"359","intermediate generation","coal","coal_int_conv pul 1961-1965",2025,0.289
"360","intermediate generation","coal","coal_int_conv pul 1961-1965",2030,0.289
"361","intermediate generation","coal","coal_int_conv pul 1961-1965",2035,0.289
"362","intermediate generation","coal","coal_int_conv pul 1961-1965",2040,0.289
"363","intermediate generation","coal","coal_int_conv pul 1961-1965",2045,0.289
"364","intermediate generation","coal","coal_int_conv pul 1961-1965",2050,0.289
"365","intermediate generation","coal","coal_int_conv pul 1961-1965",2055,0.289
"366","intermediate generation","coal","coal_int_conv pul 1961-1965",2060,0.289
"367","intermediate generation","coal","coal_int_conv pul 1961-1965",2065,0.289
"368","intermediate generation","coal","coal_int_conv pul 1961-1965",2070,0.289
"369","intermediate generation","coal","coal_int_conv pul 1961-1965",2075,0.289
"370","intermediate generation","coal","coal_int_conv pul 1961-1965",2080,0.289
"371","intermediate generation","coal","coal_int_conv pul 1961-1965",2085,0.289
"372","intermediate generation","coal","coal_int_conv pul 1961-1965",2090,0.289
"373","intermediate generation","coal","coal_int_conv pul 1961-1965",2095,0.289
"374","intermediate generation","coal","coal_int_conv pul 1961-1965",2100,0.289
"375","intermediate generation","coal","coal_int_conv pul 1966-1970",1975,0.289
"376","intermediate generation","coal","coal_int_conv pul 1966-1970",1990,0.289
"377","intermediate generation","coal","coal_int_conv pul 1966-1970",2005,0.289
"378","intermediate generation","coal","coal_int_conv pul 1966-1970",2010,0.289
"379","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,0.289
"380","intermediate generation","coal","coal_int_conv pul 1966-1970",2020,0.289
"381","intermediate generation","coal","coal_int_conv pul 1966-1970",2025,0.289
"382","intermediate generation","coal","coal_int_conv pul 1966-1970",2030,0.289
"383","intermediate generation","coal","coal_int_conv pul 1966-1970",2035,0.289
"384","intermediate generation","coal","coal_int_conv pul 1966-1970",2040,0.289
"385","intermediate generation","coal","coal_int_conv pul 1966-1970",2045,0.289
"386","intermediate generation","coal","coal_int_conv pul 1966-1970",2050,0.289
"387","intermediate generation","coal","coal_int_conv pul 1966-1970",2055,0.289
"388","intermediate generation","coal","coal_int_conv pul 1966-1970",2060,0.289
"389","intermediate generation","coal","coal_int_conv pul 1966-1970",2065,0.289
"390","intermediate generation","coal","coal_int_conv pul 1966-1970",2070,0.289
"391","intermediate generation","coal","coal_int_conv pul 1966-1970",2075,0.289
"392","intermediate generation","coal","coal_int_conv pul 1966-1970",2080,0.289
"393","intermediate generation","coal","coal_int_conv pul 1966-1970",2085,0.289
"394","intermediate generation","coal","coal_int_conv pul 1966-1970",2090,0.289
"395","intermediate generation","coal","coal_int_conv pul 1966-1970",2095,0.289
"396","intermediate generation","coal","coal_int_conv pul 1966-1970",2100,0.289
"397","intermediate generation","coal","coal_int_conv pul 1971-1975",1975,0.289
"398","intermediate generation","coal","coal_int_conv pul 1971-1975",1990,0.289
"399","intermediate generation","coal","coal_int_conv pul 1971-1975",2005,0.289
"400","intermediate generation","coal","coal_int_conv pul 1971-1975",2010,0.289
"401","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,0.289
"402","intermediate generation","coal","coal_int_conv pul 1971-1975",2020,0.289
"403","intermediate generation","coal","coal_int_conv pul 1971-1975",2025,0.289
"404","intermediate generation","coal","coal_int_conv pul 1971-1975",2030,0.289
"405","intermediate generation","coal","coal_int_conv pul 1971-1975",2035,0.289
