"","supplysector","subsector.name0","subsector.name","year","lifetime","steepness","half.life","technology"
"41","intermediate generation","refined liquids","refined liquids_int_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (seawater)"
"42","intermediate generation","refined liquids","refined liquids_int_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (recirculating)"
"43","intermediate generation","refined liquids","refined liquids_int_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (cooling pond)"
"44","intermediate generation","refined liquids","refined liquids_int_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (dry cooling)"
"45","peak generation","grid_storage","battery",1975,-1,-1,-1,"grid_storage"
"46","peak generation","grid_storage","battery",1990,-1,-1,-1,"grid_storage"
"47","peak generation","grid_storage","battery",2005,-1,-1,-1,"grid_storage"
"48","peak generation","grid_storage","battery",2010,-1,-1,-1,"grid_storage"
"49","peak generation","coal","coal_peak_conv pul",2015,60,0.1,30,"coal (conv pul) (once through)"
"50","peak generation","coal","coal_peak_conv pul",2015,60,0.1,30,"coal (conv pul) (seawater)"
"51","peak generation","coal","coal_peak_conv pul",2015,60,0.1,30,"coal (conv pul) (recirculating)"
"52","peak generation","coal","coal_peak_conv pul",2015,60,0.1,30,"coal (conv pul) (cooling pond)"
"53","peak generation","coal","coal_peak_conv pul",2015,60,0.1,30,"coal (conv pul) (dry cooling)"
"54","peak generation","gas","gas_peak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (once through)"
"55","peak generation","gas","gas_peak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (seawater)"
"56","peak generation","gas","gas_peak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (recirculating)"
"57","peak generation","gas","gas_peak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (cooling pond)"
"58","peak generation","gas","gas_peak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (dry cooling)"
"59","peak generation","gas","gas_peak_CC",2015,45,0.1,22.5,"gas (CC) (once through)"
"60","peak generation","gas","gas_peak_CC",2015,45,0.1,22.5,"gas (CC) (seawater)"
"61","peak generation","gas","gas_peak_CC",2015,45,0.1,22.5,"gas (CC) (recirculating)"
"62","peak generation","gas","gas_peak_CC",2015,45,0.1,22.5,"gas (CC) (cooling pond)"
"63","peak generation","gas","gas_peak_CC",2015,45,0.1,22.5,"gas (CC) (dry cooling)"
"64","peak generation","refined liquids","refined liquids_peak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (once through)"
"65","peak generation","refined liquids","refined liquids_peak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (seawater)"
