"","sector.name","subsector.name0","subsector.name","year","capacity.factor","technology"
"80","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85,"coal (conv pul) (once through)"
"81","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85,"coal (conv pul) (seawater)"
"82","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85,"coal (conv pul) (recirculating)"
"83","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85,"coal (conv pul) (cooling pond)"
"84","base load generation","coal","coal_base_conv pul 1961-1965",1975,0.85,"coal (conv pul) (dry cooling)"
"85","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85,"coal (conv pul) (once through)"
"86","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85,"coal (conv pul) (seawater)"
"87","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85,"coal (conv pul) (recirculating)"
"88","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85,"coal (conv pul) (cooling pond)"
"89","base load generation","coal","coal_base_conv pul 1966-1970",1975,0.85,"coal (conv pul) (dry cooling)"
"90","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85,"coal (conv pul) (once through)"
"91","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85,"coal (conv pul) (seawater)"
"92","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85,"coal (conv pul) (recirculating)"
"93","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85,"coal (conv pul) (cooling pond)"
"94","base load generation","coal","coal_base_conv pul 1971-1975",1975,0.85,"coal (conv pul) (dry cooling)"
"95","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85,"coal (conv pul) (once through)"
"96","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85,"coal (conv pul) (seawater)"
"97","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85,"coal (conv pul) (recirculating)"
"98","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85,"coal (conv pul) (cooling pond)"
"99","base load generation","coal","coal_base_conv pul 1976-1980",1975,0.85,"coal (conv pul) (dry cooling)"
"100","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85,"coal (conv pul) (once through)"
"101","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85,"coal (conv pul) (seawater)"
"102","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85,"coal (conv pul) (recirculating)"
"103","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85,"coal (conv pul) (cooling pond)"
"104","base load generation","coal","coal_base_conv pul 1981-1985",1975,0.85,"coal (conv pul) (dry cooling)"
"105","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85,"coal (conv pul) (once through)"
"106","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85,"coal (conv pul) (seawater)"
"107","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85,"coal (conv pul) (recirculating)"
"108","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85,"coal (conv pul) (cooling pond)"
"109","base load generation","coal","coal_base_conv pul 1986-1990",1975,0.85,"coal (conv pul) (dry cooling)"
"110","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85,"coal (conv pul) (once through)"
"111","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85,"coal (conv pul) (seawater)"
"112","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85,"coal (conv pul) (recirculating)"
"113","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85,"coal (conv pul) (cooling pond)"
"114","base load generation","coal","coal_base_conv pul 1991-1995",1975,0.85,"coal (conv pul) (dry cooling)"
"115","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85,"coal (conv pul) (once through)"
"116","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85,"coal (conv pul) (seawater)"
"117","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85,"coal (conv pul) (recirculating)"
"118","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85,"coal (conv pul) (cooling pond)"
"119","base load generation","coal","coal_base_conv pul 1996-2000",1975,0.85,"coal (conv pul) (dry cooling)"
"120","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85,"coal (conv pul) (once through)"
"121","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85,"coal (conv pul) (seawater)"
"122","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85,"coal (conv pul) (recirculating)"
"123","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85,"coal (conv pul) (cooling pond)"
"124","base load generation","coal","coal_base_conv pul 2001-2005",1975,0.85,"coal (conv pul) (dry cooling)"
"125","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85,"coal (conv pul) (once through)"
"126","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85,"coal (conv pul) (seawater)"
"127","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85,"coal (conv pul) (recirculating)"
"128","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85,"coal (conv pul) (cooling pond)"
"129","base load generation","coal","coal_base_conv pul 2006-2010",1975,0.85,"coal (conv pul) (dry cooling)"
"130","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85,"coal (conv pul) (once through)"
"131","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85,"coal (conv pul) (seawater)"
"132","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85,"coal (conv pul) (recirculating)"
"133","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85,"coal (conv pul) (cooling pond)"
"134","base load generation","coal","coal_base_conv pul 2011-2015",1975,0.85,"coal (conv pul) (dry cooling)"
"135","base load generation","coal","coal_base_conv pul before 1950",1975,0.85,"coal (conv pul) (once through)"
"136","base load generation","coal","coal_base_conv pul before 1950",1975,0.85,"coal (conv pul) (seawater)"
"137","base load generation","coal","coal_base_conv pul before 1950",1975,0.85,"coal (conv pul) (recirculating)"
"138","base load generation","coal","coal_base_conv pul before 1950",1975,0.85,"coal (conv pul) (cooling pond)"
"139","base load generation","coal","coal_base_conv pul before 1950",1975,0.85,"coal (conv pul) (dry cooling)"
"140","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85,"coal (conv pul) (once through)"
"141","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85,"coal (conv pul) (seawater)"
"142","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85,"coal (conv pul) (recirculating)"
"143","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85,"coal (conv pul) (cooling pond)"
"144","base load generation","coal","coal_base_conv pul_retire_2020",1975,0.85,"coal (conv pul) (dry cooling)"
"145","base load generation","biomass","biomass_base_conv",1990,0.85,"biomass (conv) (once through)"
