"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"257","subpeak generation","solar","CSP_subpeak",2065,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"258","subpeak generation","solar","CSP_subpeak",2070,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"259","subpeak generation","solar","CSP_subpeak",2075,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"260","subpeak generation","solar","CSP_subpeak",2080,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"261","subpeak generation","solar","CSP_subpeak",2085,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"262","subpeak generation","solar","CSP_subpeak",2090,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"263","subpeak generation","solar","CSP_subpeak",2095,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"264","subpeak generation","solar","CSP_subpeak",2100,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"265","subpeak generation","solar","PV_subpeak",1975,"OM-fixed",4.36,"PV_subpeak"
"266","subpeak generation","solar","PV_subpeak",1990,"OM-fixed",4.36,"PV_subpeak"
"267","subpeak generation","solar","PV_subpeak",2005,"OM-fixed",4.36,"PV_subpeak"
"268","subpeak generation","solar","PV_subpeak",2010,"OM-fixed",4.36,"PV_subpeak"
"269","subpeak generation","solar","PV_subpeak",2015,"OM-fixed",4.36,"PV_subpeak"
"270","subpeak generation","solar","PV_subpeak",2020,"OM-fixed",3.89,"PV_subpeak"
"271","subpeak generation","solar","PV_subpeak",2025,"OM-fixed",3.55,"PV_subpeak"
"272","subpeak generation","solar","PV_subpeak",2030,"OM-fixed",3.3,"PV_subpeak"
"273","subpeak generation","solar","PV_subpeak",2035,"OM-fixed",3.12,"PV_subpeak"
"274","subpeak generation","solar","PV_subpeak",2040,"OM-fixed",2.99,"PV_subpeak"
"275","subpeak generation","solar","PV_subpeak",2045,"OM-fixed",2.89,"PV_subpeak"
"276","subpeak generation","solar","PV_subpeak",2050,"OM-fixed",2.82,"PV_subpeak"
"277","subpeak generation","solar","PV_subpeak",2055,"OM-fixed",2.76,"PV_subpeak"
"278","subpeak generation","solar","PV_subpeak",2060,"OM-fixed",2.72,"PV_subpeak"
"279","subpeak generation","solar","PV_subpeak",2065,"OM-fixed",2.69,"PV_subpeak"
"280","subpeak generation","solar","PV_subpeak",2070,"OM-fixed",2.67,"PV_subpeak"
"281","subpeak generation","solar","PV_subpeak",2075,"OM-fixed",2.66,"PV_subpeak"
"282","subpeak generation","solar","PV_subpeak",2080,"OM-fixed",2.65,"PV_subpeak"
"283","subpeak generation","solar","PV_subpeak",2085,"OM-fixed",2.64,"PV_subpeak"
"284","subpeak generation","solar","PV_subpeak",2090,"OM-fixed",2.63,"PV_subpeak"
"285","subpeak generation","solar","PV_subpeak",2095,"OM-fixed",2.63,"PV_subpeak"
"286","subpeak generation","solar","PV_subpeak",2100,"OM-fixed",2.62,"PV_subpeak"
"287","subpeak generation","wind","wind_subpeak",1975,"OM-fixed",14.54,"wind_subpeak"
"288","subpeak generation","wind","wind_subpeak",1990,"OM-fixed",14.54,"wind_subpeak"
"289","subpeak generation","wind","wind_subpeak",2005,"OM-fixed",14.54,"wind_subpeak"
"290","subpeak generation","wind","wind_subpeak",2010,"OM-fixed",14.54,"wind_subpeak"
"291","subpeak generation","wind","wind_subpeak",2015,"OM-fixed",14.54,"wind_subpeak"
