"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"49","WV","base load generation","wind","wind_base",1975,0.29
"50","WY","base load generation","wind","wind_base",1975,0.35
"51","AK","base load generation","wind","wind_base",1990,0.45
"52","AL","base load generation","wind","wind_base",1990,0.31
"53","AR","base load generation","wind","wind_base",1990,0.3
"54","AZ","base load generation","wind","wind_base",1990,0.26
"55","CA","base load generation","wind","wind_base",1990,0.44
"56","CO","base load generation","wind","wind_base",1990,0.34
"57","CT","base load generation","wind","wind_base",1990,0.44
"58","DE","base load generation","wind","wind_base",1990,0.33
"59","FL","base load generation","wind","wind_base",1990,0.38
"60","GA","base load generation","wind","wind_base",1990,0.24
"61","HI","base load generation","wind","wind_base",1990,0.29
"62","IA","base load generation","wind","wind_base",1990,0.33
"63","ID","base load generation","wind","wind_base",1990,0.26
"64","IL","base load generation","wind","wind_base",1990,0.38
"65","IN","base load generation","wind","wind_base",1990,0.32
"66","KS","base load generation","wind","wind_base",1990,0.35
"67","KY","base load generation","wind","wind_base",1990,0.26
"68","LA","base load generation","wind","wind_base",1990,0.41
"69","MA","base load generation","wind","wind_base",1990,0.44
"70","MD","base load generation","wind","wind_base",1990,0.37
"71","ME","base load generation","wind","wind_base",1990,0.41
"72","MI","base load generation","wind","wind_base",1990,0.45
"73","MN","base load generation","wind","wind_base",1990,0.45
"74","MO","base load generation","wind","wind_base",1990,0.31
"75","MS","base load generation","wind","wind_base",1990,0.27
"76","MT","base load generation","wind","wind_base",1990,0.36
"77","NC","base load generation","wind","wind_base",1990,0.35
"78","ND","base load generation","wind","wind_base",1990,0.34
"79","NE","base load generation","wind","wind_base",1990,0.36
"80","NH","base load generation","wind","wind_base",1990,0.38
"81","NJ","base load generation","wind","wind_base",1990,0.33
"82","NM","base load generation","wind","wind_base",1990,0.35
"83","NV","base load generation","wind","wind_base",1990,0.25
"84","NY","base load generation","wind","wind_base",1990,0.38
"85","OH","base load generation","wind","wind_base",1990,0.34
"86","OK","base load generation","wind","wind_base",1990,0.36
"87","OR","base load generation","wind","wind_base",1990,0.4
"88","PA","base load generation","wind","wind_base",1990,0.34
"89","RI","base load generation","wind","wind_base",1990,0.34
"90","SC","base load generation","wind","wind_base",1990,0.25
"91","SD","base load generation","wind","wind_base",1990,0.36
