"","supplysector","subsector","technology","input.OM.fixed","fixed.charge.rate","improvement.shadow.technology","improvement.max","improvement.rate","1971","1990","2005","2010","2015"
"1","elect_td_bld","rooftop_pv","rooftop_pv","OM-fixed",NA,NA,0.42,0.09,7.15830691103475,7.15830691103475,7.15830691103475,7.15830691103475,7.15830691103475
"2","electricity","biomass","biomass (conv CCS)","OM-fixed",NA,NA,0.95,0.07,37.6528857643955,37.6528857643955,37.6528857643955,37.6528857643955,37.6528857643955
"3","electricity","biomass","biomass (conv)","OM-fixed",NA,NA,1,0,30.8198703612793,30.8198703612793,30.8198703612793,30.8198703612793,30.8198703612793
"4","electricity","biomass","biomass (IGCC CCS)","OM-fixed",NA,NA,0.84,0.06,54.9849778826107,54.9849778826107,54.9849778826107,54.9849778826107,54.9849778826107
"5","electricity","biomass","biomass (IGCC)","OM-fixed",NA,NA,0.87,0.06,45.4187563224364,45.4187563224364,45.4187563224364,45.4187563224364,45.4187563224364
"6","electricity","coal","coal (conv pul CCS)","OM-fixed",NA,NA,0.98,1,22.5518200330915,22.5518200330915,22.5518200330915,22.5518200330915,22.5518200330915
"7","electricity","coal","coal (conv pul)","OM-fixed",NA,NA,1,0,9.09485536100656,9.09485536100656,9.09485536100656,9.09485536100656,9.09485536100656
"8","electricity","coal","coal (IGCC CCS)","OM-fixed",NA,NA,0.91,0.08,29.9360442779113,29.9360442779113,29.9360442779113,29.9360442779113,29.9360442779113
"9","electricity","coal","coal (IGCC)","OM-fixed",NA,NA,1,1,14.9680221458572,14.9680221458572,14.9680221458572,14.9680221458572,14.9680221458572
"10","electricity","gas","gas (CC CCS)","OM-fixed",NA,NA,1,0,9.26591847124493,9.26591847124493,9.26591847124493,9.26591847124493,9.26591847124493
"11","electricity","gas","gas (CC)","OM-fixed",NA,NA,1,0,2.90807287405226,2.90807287405226,2.90807287405226,2.90807287405226,2.90807287405226
"12","electricity","gas","gas (steam/CT)","OM-fixed",NA,NA,1,0,3.36424116802124,3.36424116802124,3.36424116802124,3.36424116802124,3.36424116802124
"13","electricity","geothermal","geothermal","OM-fixed",NA,NA,0.92,1,40.7700412734777,40.7700412734777,40.7700412734777,40.7700412734777,40.7700412734777
"14","electricity","nuclear","Gen_II_LWR","OM-fixed",NA,NA,1,0,22.02,22.02,22.02,29.43356616,29.43356616
"15","electricity","nuclear","Gen_III","OM-fixed",NA,NA,0.96,1,28.9951971854034,28.9951971854034,28.9951971854034,28.9951971854034,28.9951971854034
"16","electricity","refined liquids","refined liquids (CC CCS)","OM-fixed",NA,NA,0.98,0.07,11.0277480389629,11.0277480389629,11.0277480389629,11.0277480389629,11.0277480389629
"17","electricity","refined liquids","refined liquids (CC)","OM-fixed",NA,NA,1,0,2.90807287405226,2.90807287405226,2.90807287405226,2.90807287405226,2.90807287405226
"18","electricity","refined liquids","refined liquids (steam/CT)","OM-fixed",NA,NA,1,0,3.36424116802124,3.36424116802124,3.36424116802124,3.36424116802124,3.36424116802124
"19","electricity","solar","CSP","OM-fixed",NA,NA,0.73,0.18,15.9220279543933,15.9220279543933,15.9220279543933,15.9220279543933,15.9220279543933
"20","electricity","solar","CSP_storage","OM-fixed",NA,NA,0.75,1,18.8169421262205,18.8169421262205,18.8169421262205,18.8169421262205,18.8169421262205
"21","electricity","solar","PV","OM-fixed",NA,NA,0.6,0.06,4.35868804887362,4.35868804887362,4.35868804887362,4.35868804887362,4.35868804887362
"22","electricity","solar","PV_storage","OM-fixed",NA,NA,0.43,0.08,35.0996215994483,35.0996215994483,35.0996215994483,35.0996215994483,35.0996215994483
"23","electricity","wind","wind","OM-fixed",NA,NA,0.63,0.07,14.5403643702613,14.5403643702613,14.5403643702613,14.5403643702613,14.5403643702613
"24","electricity","wind","wind_offshore","OM-fixed",NA,NA,0.27,0.07,42.794288077965,42.794288077965,42.794288077965,42.794288077965,42.794288077965
"25","electricity","wind","wind_storage","OM-fixed",NA,NA,0.48,0.08,45.2812979208359,45.2812979208359,45.2812979208359,45.2812979208359,45.2812979208359
