"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"21","AL","base load generation","wind","wind_base",2015,0.41,"electricity","wind_base","no cooling","none","none"
"22","AL","base load generation","wind","wind_base_offshore",2015,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"23","AL","intermediate generation","wind","wind_int",2015,0.41,"electricity","wind_int","no cooling","none","none"
"24","AL","subpeak generation","wind","wind_subpeak",2015,0.41,"electricity","wind_subpeak","no cooling","none","none"
"25","AL","base load generation","wind","wind_base_storage",2015,0.41,"electricity","wind_base_storage","no cooling","none","none"
"26","AL","base load generation","wind","wind_base",2020,0.41,"electricity","wind_base","no cooling","none","none"
"27","AL","base load generation","wind","wind_base_offshore",2020,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"28","AL","intermediate generation","wind","wind_int",2020,0.41,"electricity","wind_int","no cooling","none","none"
"29","AL","subpeak generation","wind","wind_subpeak",2020,0.41,"electricity","wind_subpeak","no cooling","none","none"
"30","AL","base load generation","wind","wind_base_storage",2020,0.41,"electricity","wind_base_storage","no cooling","none","none"
"31","AL","base load generation","wind","wind_base",2025,0.41,"electricity","wind_base","no cooling","none","none"
"32","AL","base load generation","wind","wind_base_offshore",2025,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"33","AL","intermediate generation","wind","wind_int",2025,0.41,"electricity","wind_int","no cooling","none","none"
"34","AL","subpeak generation","wind","wind_subpeak",2025,0.41,"electricity","wind_subpeak","no cooling","none","none"
"35","AL","base load generation","wind","wind_base_storage",2025,0.41,"electricity","wind_base_storage","no cooling","none","none"
"36","AL","base load generation","wind","wind_base",2030,0.41,"electricity","wind_base","no cooling","none","none"
"37","AL","base load generation","wind","wind_base_offshore",2030,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"38","AL","intermediate generation","wind","wind_int",2030,0.41,"electricity","wind_int","no cooling","none","none"
"39","AL","subpeak generation","wind","wind_subpeak",2030,0.41,"electricity","wind_subpeak","no cooling","none","none"
"40","AL","base load generation","wind","wind_base_storage",2030,0.41,"electricity","wind_base_storage","no cooling","none","none"
"41","AL","base load generation","wind","wind_base",2035,0.41,"electricity","wind_base","no cooling","none","none"
"42","AL","base load generation","wind","wind_base_offshore",2035,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"43","AL","intermediate generation","wind","wind_int",2035,0.41,"electricity","wind_int","no cooling","none","none"
"44","AL","subpeak generation","wind","wind_subpeak",2035,0.41,"electricity","wind_subpeak","no cooling","none","none"
"45","AL","base load generation","wind","wind_base_storage",2035,0.41,"electricity","wind_base_storage","no cooling","none","none"
"46","AL","base load generation","wind","wind_base",2040,0.41,"electricity","wind_base","no cooling","none","none"
"47","AL","base load generation","wind","wind_base_offshore",2040,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"48","AL","intermediate generation","wind","wind_int",2040,0.41,"electricity","wind_int","no cooling","none","none"
"49","AL","subpeak generation","wind","wind_subpeak",2040,0.41,"electricity","wind_subpeak","no cooling","none","none"
"50","AL","base load generation","wind","wind_base_storage",2040,0.41,"electricity","wind_base_storage","no cooling","none","none"
"51","AL","base load generation","wind","wind_base",2045,0.41,"electricity","wind_base","no cooling","none","none"
"52","AL","base load generation","wind","wind_base_offshore",2045,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"53","AL","intermediate generation","wind","wind_int",2045,0.41,"electricity","wind_int","no cooling","none","none"
"54","AL","subpeak generation","wind","wind_subpeak",2045,0.41,"electricity","wind_subpeak","no cooling","none","none"
"55","AL","base load generation","wind","wind_base_storage",2045,0.41,"electricity","wind_base_storage","no cooling","none","none"
"56","AL","base load generation","wind","wind_base",2050,0.41,"electricity","wind_base","no cooling","none","none"
"57","AL","base load generation","wind","wind_base_offshore",2050,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"58","AL","intermediate generation","wind","wind_int",2050,0.41,"electricity","wind_int","no cooling","none","none"
"59","AL","subpeak generation","wind","wind_subpeak",2050,0.41,"electricity","wind_subpeak","no cooling","none","none"
"60","AL","base load generation","wind","wind_base_storage",2050,0.41,"electricity","wind_base_storage","no cooling","none","none"
"61","AL","base load generation","wind","wind_base",2055,0.41,"electricity","wind_base","no cooling","none","none"
"62","AL","base load generation","wind","wind_base_offshore",2055,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"63","AL","intermediate generation","wind","wind_int",2055,0.41,"electricity","wind_int","no cooling","none","none"
"64","AL","subpeak generation","wind","wind_subpeak",2055,0.41,"electricity","wind_subpeak","no cooling","none","none"
"65","AL","base load generation","wind","wind_base_storage",2055,0.41,"electricity","wind_base_storage","no cooling","none","none"
"66","AL","base load generation","wind","wind_base",2060,0.41,"electricity","wind_base","no cooling","none","none"
"67","AL","base load generation","wind","wind_base_offshore",2060,0.41,"electricity","wind_base_offshore","no cooling","none","none"
