"","sector.name","subsector.name","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"27","base load generation","coal","coal_base_conv pul 1956-1960",2015,"capital",1015,0.13
"28","base load generation","coal","coal_base_conv pul 1956-1960",2020,"capital",999,0.13
"29","base load generation","coal","coal_base_conv pul 1956-1960",2025,"capital",985,0.13
"30","base load generation","coal","coal_base_conv pul 1956-1960",2030,"capital",972,0.13
"31","base load generation","coal","coal_base_conv pul 1956-1960",2035,"capital",961,0.13
"32","base load generation","coal","coal_base_conv pul 1956-1960",2040,"capital",950,0.13
"33","base load generation","coal","coal_base_conv pul 1956-1960",2045,"capital",941,0.13
"34","base load generation","coal","coal_base_conv pul 1956-1960",2050,"capital",932,0.13
"35","base load generation","coal","coal_base_conv pul 1956-1960",2055,"capital",925,0.13
"36","base load generation","coal","coal_base_conv pul 1956-1960",2060,"capital",918,0.13
"37","base load generation","coal","coal_base_conv pul 1956-1960",2065,"capital",911,0.13
"38","base load generation","coal","coal_base_conv pul 1956-1960",2070,"capital",906,0.13
"39","base load generation","coal","coal_base_conv pul 1956-1960",2075,"capital",901,0.13
"40","base load generation","coal","coal_base_conv pul 1956-1960",2080,"capital",896,0.13
"41","base load generation","coal","coal_base_conv pul 1956-1960",2085,"capital",892,0.13
"42","base load generation","coal","coal_base_conv pul 1956-1960",2090,"capital",888,0.13
"43","base load generation","coal","coal_base_conv pul 1956-1960",2095,"capital",885,0.13
"44","base load generation","coal","coal_base_conv pul 1956-1960",2100,"capital",881,0.13
"45","base load generation","coal","coal_base_conv pul 1961-1965",1975,"capital",1015,0.13
"46","base load generation","coal","coal_base_conv pul 1961-1965",1990,"capital",1015,0.13
"47","base load generation","coal","coal_base_conv pul 1961-1965",2005,"capital",1015,0.13
"48","base load generation","coal","coal_base_conv pul 1961-1965",2010,"capital",1015,0.13
"49","base load generation","coal","coal_base_conv pul 1961-1965",2015,"capital",1015,0.13
"50","base load generation","coal","coal_base_conv pul 1961-1965",2020,"capital",999,0.13
"51","base load generation","coal","coal_base_conv pul 1961-1965",2025,"capital",985,0.13
"52","base load generation","coal","coal_base_conv pul 1961-1965",2030,"capital",972,0.13
"53","base load generation","coal","coal_base_conv pul 1961-1965",2035,"capital",961,0.13
"54","base load generation","coal","coal_base_conv pul 1961-1965",2040,"capital",950,0.13
"55","base load generation","coal","coal_base_conv pul 1961-1965",2045,"capital",941,0.13
"56","base load generation","coal","coal_base_conv pul 1961-1965",2050,"capital",932,0.13
"57","base load generation","coal","coal_base_conv pul 1961-1965",2055,"capital",925,0.13
"58","base load generation","coal","coal_base_conv pul 1961-1965",2060,"capital",918,0.13
