"","sector.name","subsector.name0","subsector.name","year","technology","input.capital","capital.overnight","fixed.charge.rate"
"26","base load generation","coal","coal_base_conv pul_CCS",1975,"coal (conv pul CCS) (dry cooling)","cooling system",62,0.15
"27","base load generation","coal","coal_base_IGCC",1975,"coal (IGCC) (once through)","cooling system",6,0.15
"28","base load generation","coal","coal_base_IGCC",1975,"coal (IGCC) (seawater)","cooling system",6,0.15
"29","base load generation","coal","coal_base_IGCC",1975,"coal (IGCC) (recirculating)","cooling system",10,0.15
"30","base load generation","coal","coal_base_IGCC",1975,"coal (IGCC) (dry cooling)","cooling system",62,0.15
"31","base load generation","coal","coal_base_IGCC_CCS",1975,"coal (IGCC CCS) (once through)","cooling system",6,0.15
"32","base load generation","coal","coal_base_IGCC_CCS",1975,"coal (IGCC CCS) (seawater)","cooling system",6,0.15
"33","base load generation","coal","coal_base_IGCC_CCS",1975,"coal (IGCC CCS) (recirculating)","cooling system",10,0.15
"34","base load generation","coal","coal_base_IGCC_CCS",1975,"coal (IGCC CCS) (dry cooling)","cooling system",62,0.15
"35","base load generation","gas","gas_base_CC",1975,"gas (CC) (once through)","cooling system",6,0.15
"36","base load generation","gas","gas_base_CC",1975,"gas (CC) (seawater)","cooling system",6,0.15
"37","base load generation","gas","gas_base_CC",1975,"gas (CC) (recirculating)","cooling system",10,0.15
"38","base load generation","gas","gas_base_CC",1975,"gas (CC) (cooling pond)","cooling system",9,0.15
"39","base load generation","gas","gas_base_CC",1975,"gas (CC) (dry cooling)","cooling system",62,0.15
"40","base load generation","gas","gas_base_CC_CCS",1975,"gas (CC CCS) (once through)","cooling system",6,0.15
"41","base load generation","gas","gas_base_CC_CCS",1975,"gas (CC CCS) (seawater)","cooling system",6,0.15
"42","base load generation","gas","gas_base_CC_CCS",1975,"gas (CC CCS) (recirculating)","cooling system",10,0.15
"43","base load generation","gas","gas_base_CC_CCS",1975,"gas (CC CCS) (dry cooling)","cooling system",62,0.15
"44","base load generation","geothermal","geo_base",1975,"geothermal (recirculating)","cooling system",10,0.15
"45","base load generation","geothermal","geo_base",1975,"geothermal (dry_hybrid)","cooling system",62,0.15
"46","base load generation","nuclear","nuc_base_Gen II",1975,"Gen_II_LWR (once through)","cooling system",6,0.15
"47","base load generation","nuclear","nuc_base_Gen II",1975,"Gen_II_LWR (seawater)","cooling system",6,0.15
"48","base load generation","nuclear","nuc_base_Gen II",1975,"Gen_II_LWR (recirculating)","cooling system",10,0.15
"49","base load generation","nuclear","nuc_base_Gen II",1975,"Gen_II_LWR (cooling pond)","cooling system",9,0.15
"50","base load generation","nuclear","nuc_base_Gen III",1975,"Gen_III (once through)","cooling system",6,0.15
"51","base load generation","nuclear","nuc_base_Gen III",1975,"Gen_III (seawater)","cooling system",6,0.15
"52","base load generation","nuclear","nuc_base_Gen III",1975,"Gen_III (recirculating)","cooling system",10,0.15
"53","base load generation","nuclear","nuc_base_Gen III",1975,"Gen_III (cooling pond)","cooling system",9,0.15
"54","base load generation","refined liquids","refined liquids_base_steam/CT",1975,"refined liquids (steam/CT) (once through)","cooling system",6,0.15
"55","base load generation","refined liquids","refined liquids_base_steam/CT",1975,"refined liquids (steam/CT) (seawater)","cooling system",6,0.15
"56","base load generation","refined liquids","refined liquids_base_steam/CT",1975,"refined liquids (steam/CT) (recirculating)","cooling system",10,0.15
"57","base load generation","refined liquids","refined liquids_base_steam/CT",1975,"refined liquids (steam/CT) (cooling pond)","cooling system",9,0.15
"58","base load generation","refined liquids","refined liquids_base_steam/CT",1975,"refined liquids (steam/CT) (dry cooling)","cooling system",62,0.15
"59","base load generation","refined liquids","refined liquids_base_CC",1975,"refined liquids (CC) (once through)","cooling system",6,0.15
"60","base load generation","refined liquids","refined liquids_base_CC",1975,"refined liquids (CC) (seawater)","cooling system",6,0.15
"61","base load generation","refined liquids","refined liquids_base_CC",1975,"refined liquids (CC) (recirculating)","cooling system",10,0.15
"62","base load generation","refined liquids","refined liquids_base_CC",1975,"refined liquids (CC) (dry cooling)","cooling system",62,0.15
"63","base load generation","refined liquids","refined liquids_base_CC_CCS",1975,"refined liquids (CC CCS) (once through)","cooling system",6,0.15
"64","base load generation","refined liquids","refined liquids_base_CC_CCS",1975,"refined liquids (CC CCS) (seawater)","cooling system",6,0.15
"65","base load generation","refined liquids","refined liquids_base_CC_CCS",1975,"refined liquids (CC CCS) (recirculating)","cooling system",10,0.15
"66","base load generation","refined liquids","refined liquids_base_CC_CCS",1975,"refined liquids (CC CCS) (dry cooling)","cooling system",62,0.15
"67","base load generation","solar","PV_base_storage",1975,"PV_base_storage","capital",1896,0.13
"68","base load generation","solar","CSP_base_storage",1975,"CSP_base_storage","capital",2270,0.13
"69","base load generation","wind","wind_base_storage",1975,"wind_base_storage","capital",1681,0.13
"70","base load generation","coal","coal_base_conv pul 1951-1955",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"71","base load generation","coal","coal_base_conv pul 1951-1955",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"72","base load generation","coal","coal_base_conv pul 1951-1955",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"73","base load generation","coal","coal_base_conv pul 1951-1955",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"74","base load generation","coal","coal_base_conv pul 1951-1955",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"75","base load generation","coal","coal_base_conv pul 1956-1960",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"76","base load generation","coal","coal_base_conv pul 1956-1960",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"77","base load generation","coal","coal_base_conv pul 1956-1960",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"78","base load generation","coal","coal_base_conv pul 1956-1960",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"79","base load generation","coal","coal_base_conv pul 1956-1960",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"80","base load generation","coal","coal_base_conv pul 1961-1965",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"81","base load generation","coal","coal_base_conv pul 1961-1965",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"82","base load generation","coal","coal_base_conv pul 1961-1965",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"83","base load generation","coal","coal_base_conv pul 1961-1965",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"84","base load generation","coal","coal_base_conv pul 1961-1965",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"85","base load generation","coal","coal_base_conv pul 1966-1970",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"86","base load generation","coal","coal_base_conv pul 1966-1970",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"87","base load generation","coal","coal_base_conv pul 1966-1970",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"88","base load generation","coal","coal_base_conv pul 1966-1970",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"89","base load generation","coal","coal_base_conv pul 1966-1970",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"90","base load generation","coal","coal_base_conv pul 1971-1975",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"91","base load generation","coal","coal_base_conv pul 1971-1975",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"92","base load generation","coal","coal_base_conv pul 1971-1975",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"93","base load generation","coal","coal_base_conv pul 1971-1975",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"94","base load generation","coal","coal_base_conv pul 1971-1975",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"95","base load generation","coal","coal_base_conv pul 1976-1980",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"96","base load generation","coal","coal_base_conv pul 1976-1980",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"97","base load generation","coal","coal_base_conv pul 1976-1980",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"98","base load generation","coal","coal_base_conv pul 1976-1980",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"99","base load generation","coal","coal_base_conv pul 1976-1980",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"100","base load generation","coal","coal_base_conv pul 1981-1985",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"101","base load generation","coal","coal_base_conv pul 1981-1985",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"102","base load generation","coal","coal_base_conv pul 1981-1985",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"103","base load generation","coal","coal_base_conv pul 1981-1985",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"104","base load generation","coal","coal_base_conv pul 1981-1985",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"105","base load generation","coal","coal_base_conv pul 1986-1990",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"106","base load generation","coal","coal_base_conv pul 1986-1990",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"107","base load generation","coal","coal_base_conv pul 1986-1990",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"108","base load generation","coal","coal_base_conv pul 1986-1990",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"109","base load generation","coal","coal_base_conv pul 1986-1990",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"110","base load generation","coal","coal_base_conv pul 1991-1995",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"111","base load generation","coal","coal_base_conv pul 1991-1995",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"112","base load generation","coal","coal_base_conv pul 1991-1995",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"113","base load generation","coal","coal_base_conv pul 1991-1995",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"114","base load generation","coal","coal_base_conv pul 1991-1995",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"115","base load generation","coal","coal_base_conv pul 1996-2000",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"116","base load generation","coal","coal_base_conv pul 1996-2000",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"117","base load generation","coal","coal_base_conv pul 1996-2000",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"118","base load generation","coal","coal_base_conv pul 1996-2000",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"119","base load generation","coal","coal_base_conv pul 1996-2000",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"120","base load generation","coal","coal_base_conv pul 2001-2005",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"121","base load generation","coal","coal_base_conv pul 2001-2005",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"122","base load generation","coal","coal_base_conv pul 2001-2005",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"123","base load generation","coal","coal_base_conv pul 2001-2005",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"124","base load generation","coal","coal_base_conv pul 2001-2005",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"125","base load generation","coal","coal_base_conv pul 2006-2010",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"126","base load generation","coal","coal_base_conv pul 2006-2010",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"127","base load generation","coal","coal_base_conv pul 2006-2010",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"128","base load generation","coal","coal_base_conv pul 2006-2010",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
